,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
0,-41.752009519297594,-42.425481866044635,-41.96099509570473,-41.81439224729641,-41.473561264443205,-40.74180615119185,-39.51765353675347,-37.939270822956594,-36.84626850589784,-36.190645927916464,-35.70732943691065,-35.38941169515107,-35.52403774301937,-36.28379507177998,-37.743406917903606,-38.57714352608363,-39.902025514994335,-40.64351815702703,-41.70336460547154,-42.41800966156852,-43.02170372654946,-42.34344546767111,-40.26739631216597,-38.07401531549632,-36.210240936482236,-34.89961070198414,-34.15150866396422,-33.790679803211376,-33.55577499269108,-33.39439827894721,-32.325577311585604,-32.3638959178329,-32.238855038478654,-32.28287983347586,-32.449865123234865,-32.720002064292885,-32.96054127839754,-33.67410349716679,-34.59087848647932,-36.064497672933406,-37.83383970843077,-39.36655840651972,-39.64604808867195,-39.197226255649305,-39.340170939917336,-40.09703120611002,-39.512191687612,-37.740815098257144,-36.14014591067006,-34.35295465117542,-34.491600861588346,-35.20518368489684,-36.09813742696939,-36.852986625918916,-36.939752140777806,-35.947221290254475,-35.44272009394287,-35.248357144043666,-35.13617376981589,-35.488389453885446,-36.15394133428861,-37.11738555898481,-38.10887309625589,-39.14407827346061,-39.560102302037244,-39.36265058503042,-38.73730824446968,-38.14697668249223,-37.60506457057464,-37.52060161639024,-38.000720534459326,-38.67111004240507,-38.8226936748759,-38.755162779581575,-38.40450752826693,-38.06134527634216,-38.090097943737184,-38.70484369722769,-40.011456411467634,-41.97881479160384,-43.57135789019132,-43.77592440842882,-41.84032830034198,-39.711194067808705,-37.95980713552411,-36.52757591038669,-35.69857125094278,-35.62635257144144,-35.6213423306259,-36.075749713115584,-36.01477822413142,-35.75034169395847
1,-41.81851501621882,-42.25874403641059,-41.59568504846238,-41.40027366797596,-41.32026622217211,-40.66502192952893,-39.330288673366944,-37.75584914157641,-36.74349157932312,-36.184859993933706,-35.741473960127465,-35.358386357759514,-35.40380040823888,-36.11660604036076,-37.552513061463195,-38.51898191924306,-39.997017732695625,-40.60161496445203,-41.30872713063705,-41.79673562851203,-42.53431560107957,-42.063126676555925,-40.13723535959916,-37.991095688757575,-36.16965902917117,-34.83925297130125,-34.06767193050879,-33.64437341626095,-33.30699239295519,-33.161416516226275,-32.17651624146828,-32.32787207063228,-32.25318162993639,-32.31915643433419,-32.476845265400634,-32.69459545957079,-32.936516849792746,-33.69688467755151,-34.65030155233573,-36.22034875743883,-38.07685763386688,-39.62418019635079,-39.44665013252866,-38.70534085267836,-38.70776714565902,-39.47492401206402,-39.18606272388978,-37.54999861166865,-35.98267794585717,-34.18322655938474,-34.25122648230257,-34.93124719938717,-35.930319512704706,-36.77448674497385,-37.017460330975396,-36.09981548013806,-35.54778789595835,-35.30860154214209,-35.20001320127476,-35.51616477090643,-36.22073274004475,-37.21212364580195,-38.24576224388152,-39.23970072654251,-39.488681982931425,-39.18590489603857,-38.57228730916227,-37.95481343532997,-37.38711041578506,-37.21109430760251,-37.616516580626744,-38.36351287238911,-38.69508303015477,-39.066187006514404,-38.8640070265787,-38.39955737302582,-38.17823182758291,-38.567361197330726,-39.63262323646063,-41.60460947198945,-43.815359146414295,-44.929309266109094,-42.95485297153655,-40.347241213555264,-38.36801066474307,-36.72635484374367,-35.75310071477923,-35.53033790069778,-35.42486212666685,-35.83938346150476,-35.83519139621696,-35.63104124035986
2,-42.10301381761173,-42.33807479016889,-41.22435333347711,-40.874673766381335,-40.720836997591235,-40.21129015748887,-39.01112832252616,-37.49191017768409,-36.58944295704164,-36.09916689655635,-35.71653501767369,-35.35647758637098,-35.36997697070267,-36.030772551984576,-37.42495987083751,-38.467800643451305,-40.1707617543126,-40.789125419320996,-41.22072918112602,-41.481696264039925,-42.078802557951676,-41.77074459788173,-39.98370604684125,-37.885598331221054,-36.10618317767515,-34.75109349963522,-33.91080541759043,-33.46340140720238,-33.07532960604408,-32.92351293356689,-31.986419170925696,-32.269101705283646,-32.281321427250504,-32.359768443290136,-32.49738965938474,-32.723231271509334,-32.91609043865928,-33.71366501148539,-34.655346933151236,-36.30521192529563,-38.09681248628176,-39.51936395317289,-39.24205472505206,-38.51521915921393,-38.65995450566359,-39.39475575686021,-39.108721798356584,-37.55098064165229,-36.03949493570227,-34.2197905953886,-34.227658974900166,-34.850068774022,-35.80644837933072,-36.70725477284996,-37.07064485817423,-36.327206980642515,-35.82607958749737,-35.57453698470749,-35.42322431771644,-35.676490921380534,-36.31885266077639,-37.27434807030821,-38.25558029446321,-39.049427007932536,-39.106130954585005,-38.832817461526346,-38.346338466911135,-37.821604161022535,-37.27694273875362,-36.995031689517724,-37.27773923865247,-38.00591752417438,-38.61033325555241,-39.40642500976941,-39.334229505366515,-38.83047335387182,-38.461921715217365,-38.65542313729185,-39.476598251484035,-41.218439356366716,-43.29534343645858,-44.861946547938956,-43.324181680734696,-40.75762733714534,-38.80526198459782,-37.124980736835404,-36.045093368940314,-35.711211449023786,-35.45437735476343,-35.79766102505696,-35.70657936124283,-35.426826813510985
3,-42.12779149651081,-42.18460826969321,-40.80987985516703,-40.203075416089604,-39.982361281845115,-39.61293558459079,-38.78928264317575,-37.4054222140916,-36.58370441064355,-36.09884398905749,-35.73348753083237,-35.40481126332567,-35.453230023792564,-36.10935242141519,-37.45344674912186,-38.51783106744014,-40.226512724809574,-41.009518250372146,-41.382775614908084,-41.59456681759102,-42.25751359962311,-41.90798470023304,-40.03370454467286,-37.8144543153447,-36.04047826076678,-34.65662560287809,-33.74398696151151,-33.2716684535506,-32.916872767026334,-32.806681845384446,-31.969718330821763,-32.38053755583116,-32.46821761283314,-32.589417049140714,-32.68847219986235,-32.86394565100655,-32.9810670275051,-33.71813954809567,-34.644223632013684,-36.25321774263796,-38.00138221253751,-39.25323452865848,-39.024497298326665,-38.59232613252877,-38.91574712377797,-39.59717404156851,-39.130448488367605,-37.503217627808716,-36.04578693126178,-34.28338874267752,-34.27065672157822,-34.84176871949204,-35.72644301139645,-36.590558855364705,-37.08138127102943,-36.526057546677436,-36.12379467275603,-35.93755619442504,-35.7897444781486,-36.00091635358526,-36.62801288911887,-37.495142115120885,-38.33963115332387,-38.920264988366334,-38.83659400517725,-38.630317701885744,-38.23636801730199,-37.844091541855335,-37.34810631421479,-37.046631795064826,-37.25696017382641,-37.97282756009568,-38.628458406111285,-39.40745042199462,-39.47332859567089,-39.088937513151876,-38.86287872478463,-39.13007232031071,-39.87078999237481,-41.44241688654158,-43.00102621532879,-43.934128461645926,-42.537889273275795,-40.471736048160736,-38.72846440962277,-37.1989453126285,-36.236387301263385,-35.93815162578746,-35.6977475667514,-36.03362082887145,-35.86860522208545,-35.478285387930725
4,-41.78937610283203,-41.62324928169706,-40.35268773680991,-39.60781411656372,-39.35953560811123,-39.09974509663955,-38.6059153407983,-37.431247423962574,-36.674266392267626,-36.21721015971606,-35.88207127645186,-35.55574549909765,-35.586614017534714,-36.20326260668718,-37.50541545755434,-38.456451655568294,-40.144750246017864,-40.87659393659078,-41.25543021892518,-41.51346690482833,-42.322592997707524,-42.01606307212436,-39.96828654193915,-37.719456134505734,-35.910000332981525,-34.553762221764856,-33.66300476017284,-33.18338219177443,-32.84166865912349,-32.75339752495123,-31.96135553445647,-32.46994701524138,-32.66468354820607,-32.847174028959806,-32.96744877744689,-33.06418600839591,-33.124955535762474,-33.77683777939882,-34.70935518012466,-36.31824660852676,-37.99821758359029,-38.9790570829199,-38.745599758615285,-38.427916050715055,-38.84448396667626,-39.47266194946428,-38.930954109172625,-37.309579766780246,-35.9702855297616,-34.246885597995195,-34.25309825890705,-34.78585327564026,-35.61379746114421,-36.47943769249929,-37.001883010490445,-36.58717658824828,-36.307599614101505,-36.17564243308163,-36.096564924038155,-36.315087079651065,-36.92873341743168,-37.74586513779405,-38.442499605378195,-38.968860781861245,-38.87948795825685,-38.58101646106733,-38.2207847786115,-37.824043992353694,-37.39118096926689,-37.14362942795888,-37.36698317888865,-38.03685094373319,-38.599477975612174,-39.27316557665815,-39.40580736373299,-39.247373748812635,-39.288044736793786,-39.725989941095946,-40.53385473903968,-42.049383671171086,-43.44912738968202,-44.14754240652839,-42.6503579545992,-40.640959713643674,-38.855282236804115,-37.2711350931226,-36.25611225093738,-35.98198351421188,-35.82721448815455,-36.21756146093415,-36.07293058815403,-35.75193257877383
5,-41.52757086992022,-41.3209038495582,-40.074559275497954,-39.30644891108092,-38.93866749217654,-38.70394921940778,-38.30035928773776,-37.38754061975516,-36.7794386775256,-36.31401875573693,-35.967378278263894,-35.642739405945896,-35.69768086746494,-36.26948409568476,-37.50730385936489,-38.400187346097134,-39.9561448225232,-40.61063748336454,-40.77323171832354,-40.9978014372563,-41.86998790557162,-41.63191595287036,-39.730959304814164,-37.548072257803014,-35.823847973575276,-34.54327414849957,-33.693311051970205,-33.21434705099308,-32.84094131638086,-32.68597602244001,-31.86703421421171,-32.38421338612427,-32.63737114839281,-33.01139091111961,-33.173180747327734,-33.28173792534019,-33.304897288524785,-33.892829127908335,-34.77996649430508,-36.41163922986125,-37.97743893665204,-38.69461763659282,-38.269301320101576,-37.939721787957204,-38.423956013220824,-39.1002881745758,-38.692310336442425,-37.23194844928565,-35.86873009635979,-34.16208148110927,-34.13442405881376,-34.69959815660359,-35.52632611978561,-36.39803223247665,-36.94632855296811,-36.62448838657957,-36.44058306892778,-36.407165560869664,-36.402944546426106,-36.61953267620443,-37.23820390700064,-37.97719213546645,-38.54905376852367,-39.04292019462048,-38.85430749835622,-38.4579255587871,-37.96325846013788,-37.54390311000386,-37.24362512505989,-37.20447480799498,-37.5817522411186,-38.19342958951994,-38.72032960616564,-39.3817105865727,-39.46410142518366,-39.344895608547404,-39.447638662454644,-39.98172303042894,-40.90242560794519,-42.35464039783022,-43.90511660584665,-44.888903043374356,-43.55335004576435,-41.47787038361761,-39.375233261590964,-37.51780512896538,-36.303058188235376,-35.82129731907011,-35.65999082780224,-36.10019415755633,-36.06592860069375,-35.88196865494587
6,-41.74119274873977,-41.32728308325177,-40.06999079231911,-39.19930867335576,-38.5716915383546,-38.29947371635316,-37.9299374644109,-37.21244558610313,-36.81107137018759,-36.432595272484555,-36.077556256702515,-35.73404502908278,-35.73737476428145,-36.26483568084221,-37.508863473675106,-38.45295168276761,-40.00263777243896,-40.54685009039521,-40.41461490755058,-40.4575137492114,-41.17270825390301,-41.103297152215305,-39.35066217850236,-37.31320859760708,-35.6687447670447,-34.52600980180336,-33.77691295770423,-33.301636535655234,-32.909039754400126,-32.61122973055572,-31.691302005247373,-32.121320517456844,-32.40797581239336,-32.93379518907849,-33.25856017509051,-33.48994580545391,-33.487948429725115,-34.054780305042264,-34.89005092132535,-36.36723819838148,-37.84928918143641,-38.33602271277313,-37.78132565747226,-37.40452606234238,-37.870515733083685,-38.66570254325758,-38.50458326799097,-37.289646084202744,-35.93825852855226,-34.1558353546018,-34.059793899375094,-34.62835492975847,-35.5282584550147,-36.51370564711663,-37.108055320709596,-36.871386921820964,-36.75777411657884,-36.83206223511489,-36.83416424756384,-37.0290562580236,-37.5667377061863,-38.17558483315481,-38.60669472929746,-38.95206090951073,-38.58475958714595,-38.03607788828249,-37.528858571930485,-37.198053870623184,-37.03192874304061,-37.151517678516356,-37.72117587558986,-38.55346319405105,-39.14597877204307,-39.88528512740285,-39.811868100430644,-39.51003135195534,-39.44162448404205,-39.891334108717594,-40.739215909230694,-42.13073612414159,-43.61101203024164,-44.695032916304605,-43.87740355624774,-41.88842927731142,-39.9055434376649,-37.93555285790624,-36.50757290332575,-35.678541875769014,-35.37303773453115,-35.7974216911145,-35.82770561610305,-35.701197597748006
7,-41.71986189869013,-41.29739300131328,-40.046448876022836,-39.13248090060816,-38.36535766590305,-37.922882366299845,-37.5192588600388,-36.96486153947006,-36.78286351250192,-36.568702413638285,-36.28114896510017,-35.89756249892417,-35.799505938823806,-36.268721278904636,-37.55210927630296,-38.4879037225147,-40.1083599906365,-40.527087501519155,-39.99409085506032,-39.81645389073729,-40.53714418370887,-40.612906834807944,-39.11474655681112,-37.10466870685511,-35.49196933294005,-34.3610737302901,-33.72784114838771,-33.31437093973151,-32.97461697877327,-32.64704642689014,-31.599576425019897,-31.989562469377898,-32.286395017941366,-32.87948053159105,-33.35683011945781,-33.7523000109273,-33.80114094959169,-34.30703533780017,-35.02352317985009,-36.320278136550805,-37.58699388150894,-38.108144430681975,-37.62543191394717,-37.15708391660426,-37.45741642158357,-38.281554662600804,-38.3709009299554,-37.387147636148256,-36.06086935005568,-34.16414884350164,-34.008990698769985,-34.5766988429586,-35.55889907749438,-36.685030976927926,-37.395894663752316,-37.29816816862043,-37.28502328560952,-37.4121892607827,-37.43523214119443,-37.515145842207474,-37.945227886440875,-38.39206763542332,-38.67962901776287,-38.85783653925894,-38.368215817095994,-37.75821911531263,-37.28771058519421,-37.02289425465251,-36.80657561976298,-36.93276948179201,-37.68237881985575,-38.840645114833556,-39.65464210120233,-40.525411577074514,-40.301146566808214,-39.7689287550272,-39.59898935318692,-39.95429151794133,-40.767909685245264,-42.0672096686375,-43.18431468324049,-43.8457059837478,-42.90878082971212,-41.167522391015694,-39.59878164547152,-38.03491145808161,-36.78412328569021,-35.84357527886107,-35.41224686599372,-35.83295778789049,-35.88651017838475,-35.55299095056601
8,-41.199921172242696,-40.89973614578714,-39.76724487804692,-38.8891986094613,-38.127181465472944,-37.57471977284993,-37.16564605325138,-36.70038667570062,-36.76050660689445,-36.758285624872656,-36.59008364938214,-36.14808123644454,-35.94956788568764,-36.406093268071594,-37.59633573092069,-38.450862365518844,-39.93446224183025,-40.096005673296574,-39.39979703697229,-39.214514698093346,-39.944043270731086,-40.24019534923002,-38.97428100356282,-36.96288415760117,-35.33840860252233,-34.174987232554315,-33.539937817922116,-33.170388426340466,-32.97076958058386,-32.773947340869626,-31.706594690332647,-32.03796830510971,-32.33990391511503,-32.95913948297858,-33.50075522910571,-34.01878076182359,-34.135165830310925,-34.64931267111624,-35.20171751582787,-36.34922852243421,-37.42084858628994,-37.93631793862568,-37.49899128834761,-36.95009624826314,-37.14618097957666,-37.85785636634929,-38.11070221278611,-37.34016827999974,-36.13491440300956,-34.25683750281395,-34.02573535037573,-34.51612705099994,-35.525429502449775,-36.74717001450408,-37.70773987078802,-37.77614073264693,-37.8106114645407,-37.836763592426706,-37.76296949340177,-37.731221977630575,-38.11103317941979,-38.52095359257483,-38.80172408334798,-38.90157335503516,-38.33657111239012,-37.81719069421803,-37.38733045470732,-37.05650854086071,-36.721571847272564,-36.759460885615376,-37.4853353893498,-38.80123297205771,-39.85046846408779,-40.87454186413212,-40.748994247791764,-40.272188940099824,-40.11744711921569,-40.46925356562974,-41.257768812885445,-42.57417491183155,-43.595561899569894,-43.922428767138186,-42.49844490568596,-40.57503649346077,-39.132753771758274,-37.91855588416248,-37.03156377614374,-36.31366881347013,-35.98713136797318,-36.381215997984356,-36.37915241976192,-35.73123783919763
9,-40.72036549294167,-40.381785773774766,-39.40763683505243,-38.559231975453685,-37.831753920397986,-37.225521252461206,-36.78182344044996,-36.40999671937174,-36.69479547036428,-36.94892976304178,-36.91328985391028,-36.50438273247714,-36.22013364624889,-36.62009318098016,-37.652918752185286,-38.37449689071313,-39.45367710176987,-39.427309976144635,-38.741745742002266,-38.66562936426209,-39.464466680474956,-39.855881987002796,-38.79544232253603,-36.87497699248847,-35.290132548692,-34.088532517530204,-33.43177447498344,-33.02160957532645,-32.893408278692135,-32.770136870979854,-31.779363736408712,-32.12042815438081,-32.385931926678225,-33.028826437241634,-33.63375710348764,-34.26001720704201,-34.471321207609435,-35.0765172732392,-35.59614992053871,-36.58140903009326,-37.355489620256684,-37.593780148630614,-37.127720369280766,-36.643369933544115,-36.81658940216871,-37.415292892848235,-37.7677414413813,-37.247539135619725,-36.253197768336484,-34.40683440985427,-34.100725813910095,-34.46264855104744,-35.44842634977925,-36.70824152770126,-37.88287519510537,-38.11489108603499,-38.0958941446501,-37.94364057222344,-37.74007613036363,-37.7213058946808,-38.10824415444456,-38.616484947831296,-38.84933133519709,-38.94471087726858,-38.38157084796143,-37.95358638129112,-37.479566328081,-37.09033740073076,-36.707709886955364,-36.645973442993316,-37.28875030640377,-38.60521299063896,-39.76317607893324,-41.013328115909104,-41.18764423366267,-40.91196178096829,-40.70519938353945,-40.98079634786786,-41.69673292857091,-43.0131343408129,-44.28183832883765,-44.704119066511474,-42.95658366841983,-40.608971537757725,-38.96564833985067,-37.757251326930174,-37.107936339276215,-36.88770407363996,-36.803931681496074,-37.2871620490002,-37.09293835143463,-36.12371332617675
