,x,y,z
744,8.0,8.0,-37.08194395561556
760,24.0,8.0,-35.07428889759222
776,40.0,8.0,-35.0120178713437
792,56.0,8.0,-35.88880449815994
808,72.0,8.0,-38.79999737799533
2216,8.0,24.0,-39.4150630722502
2232,24.0,24.0,-38.17706753670072
2248,40.0,24.0,-36.79940119971446
2264,56.0,24.0,-37.94283290206607
2280,72.0,24.0,-39.38913421707581
3688,8.0,40.0,-34.89715469254794
3704,24.0,40.0,-37.19405607840245
3720,40.0,40.0,-37.32409672216608
3736,56.0,40.0,-41.500940893978196
3752,72.0,40.0,-40.96613707292583
5160,8.0,56.0,-34.72752709423709
5176,24.0,56.0,-38.55626432395623
5192,40.0,56.0,-37.33565227984388
5208,56.0,56.0,-39.264442073473575
5224,72.0,56.0,-40.65245262931279
6632,8.0,72.0,-32.780654998048
6648,24.0,72.0,-36.313840236686865
6664,40.0,72.0,-38.7945817796907
6680,56.0,72.0,-39.92582826632147
6696,72.0,72.0,-39.681852199834566
8104,8.0,88.0,-34.64310816261524
8120,24.0,88.0,-36.27523549051144
8136,40.0,88.0,-37.080857332481166
8152,56.0,88.0,-38.19277706572794
8168,72.0,88.0,-40.13973148964948
9576,8.0,104.0,-37.50325181510596
9592,24.0,104.0,-38.11535785503687
9608,40.0,104.0,-35.964597538281005
9624,56.0,104.0,-38.04923984445275
9640,72.0,104.0,-40.620386281611815
11048,8.0,120.0,-36.529066431499395
11064,24.0,120.0,-38.308832346921676
11080,40.0,120.0,-35.630179133336675
11096,56.0,120.0,-37.54609271724618
11112,72.0,120.0,-41.59777311148815
12520,8.0,136.0,-37.94732386158757
12536,24.0,136.0,-36.62848506643025
12552,40.0,136.0,-35.24902367606855
12568,56.0,136.0,-36.20607846559693
12584,72.0,136.0,-38.778485460568945
13992,8.0,152.0,-37.05605327608376
14008,24.0,152.0,-37.18740380654476
14024,40.0,152.0,-33.84038888894649
14040,56.0,152.0,-36.049093065735285
14056,72.0,152.0,-39.47491891492509
15464,8.0,168.0,-37.097608348824096
15480,24.0,168.0,-38.05284545341337
15496,40.0,168.0,-35.3512931844568
15512,56.0,168.0,-36.32282266177806
15528,72.0,168.0,-38.332603468171996
16936,8.0,184.0,-36.652929498388964
16952,24.0,184.0,-35.02493168240034
16968,40.0,184.0,-34.843594614795094
16984,56.0,184.0,-36.12899788142203
17000,72.0,184.0,-37.64850810949889
18408,8.0,200.0,-34.302464370165424
18424,24.0,200.0,-35.839319290716034
18440,40.0,200.0,-34.94942467514156
18456,56.0,200.0,-34.66496485428024
18472,72.0,200.0,-35.154375040554044
19880,8.0,216.0,-34.420296624825255
19896,24.0,216.0,-37.89675181876062
19912,40.0,216.0,-36.09986836526293
19928,56.0,216.0,-35.1057682940553
19944,72.0,216.0,-34.33430348332179
21352,8.0,232.0,-35.30273477386744
21368,24.0,232.0,-33.594169140315465
21384,40.0,232.0,-33.924731853327046
21400,56.0,232.0,-36.00682534838534
21416,72.0,232.0,-34.80529674674652
22824,8.0,248.0,-37.35660939410226
22840,24.0,248.0,-31.249468170515264
22856,40.0,248.0,-31.98227559685117
22872,56.0,248.0,-33.908959490137605
22888,72.0,248.0,-33.56317083959169
24296,8.0,264.0,-35.2639226437286
24312,24.0,264.0,-35.53363885923836
24328,40.0,264.0,-33.68521833870276
24344,56.0,264.0,-35.39596210039641
24360,72.0,264.0,-34.7244381650811
