,x,y,z
372,4,4,
380,12,4,-36.26771944138329
388,20,4,-38.64699937429447
396,28,4,-32.91858616906121
404,36,4,-33.62801472063666
412,44,4,-35.61631973325308
420,52,4,-36.61901191231056
428,60,4,-37.89910924995374
436,68,4,-38.490350448787
444,76,4,-40.1178818886931
452,84,4,
1108,4,12,
1116,12,12,-37.51738047051773
1124,20,12,-35.93087875998436
1132,28,12,-32.97309796387161
1140,36,12,-35.19923271342553
1148,44,12,-37.309787678718
1156,52,12,-37.27434141460734
1164,60,12,-37.60913837879834
1172,68,12,-38.642846716917724
1180,76,12,-41.28463083488726
1188,84,12,-40.59633693916206
1844,4,20,-37.928276979361335
1852,12,20,-39.67216942892973
1860,20,20,-37.13424076749719
1868,28,20,-33.96474147530977
1876,36,20,-35.80016222205085
1884,44,20,-37.896241155423915
1892,52,20,-38.06376924790532
1900,60,20,-37.67279136038442
1908,68,20,-38.27490205408141
1916,76,20,-39.05512365011013
1924,84,20,-39.74099707175646
2580,4,28,-38.0870921913924
2588,12,28,-41.32677009598793
2596,20,28,-34.30528388613075
2604,28,28,-34.63791494254612
2612,36,28,-37.46047205888108
2620,44,28,-38.35643481964946
2628,52,28,-38.36068858366166
2636,60,28,-36.32801570433533
2644,68,28,-37.19362847829561
2652,76,28,-38.564218057227684
2660,84,28,-40.70487289053054
3316,4,36,-38.087440301343364
3324,12,36,-40.791264038992544
3332,20,36,-33.3209464212689
3340,28,36,-34.6398222694056
3348,36,36,-37.733711637652505
3356,44,36,-36.28442168033474
3364,52,36,-37.82300701847359
3372,60,36,-37.937469959549816
3380,68,36,-38.52960813224722
3388,76,36,-39.11950186806928
3396,84,36,-42.25628133388504
4052,4,44,-36.88902276487932
4060,12,44,-38.836792613792554
4068,20,44,-32.4315441127874
4076,28,44,-36.83859642039564
4084,36,44,-37.896734903168195
4092,44,44,-36.38265056302305
4100,52,44,-38.39964764763028
4108,60,44,-36.62922923261214
4116,68,44,-38.28071775189158
4124,76,44,-40.862885646464875
4132,84,44,-40.73418630512078
4788,4,52,-37.83884395051296
4796,12,52,-37.35458076560333
4804,20,52,-34.01169148726878
4812,28,52,-38.05421861374731
4820,36,52,-37.82350394999933
4828,44,52,-36.34267226081893
4836,52,52,-39.154337076266614
4844,60,52,-37.474221097846346
4852,68,52,-37.91226970315597
4860,76,52,-40.2582852611722
4868,84,52,-40.471446509506414
5524,4,60,-38.522820031227106
5532,12,60,-35.704978022533
5540,20,60,-35.69405811466271
5548,28,60,-38.60471959287181
5556,36,60,-37.886548925406444
5564,44,60,-38.17102489634202
5572,52,60,-38.81282530750288
5580,60,60,-37.4591808741504
5588,68,60,-36.104092549366676
5596,76,60,-42.53505859046146
5604,84,60,-39.40093708402816
6260,4,68,-41.89781268979766
6268,12,68,-33.00094642534503
6276,20,68,-36.176882465818316
6284,28,68,-39.17071879784393
6292,36,68,-38.65411584031604
6300,44,68,-36.99303084363089
6308,52,68,-37.33561452946806
6316,60,68,-36.48236811838275
6324,68,68,-39.46369556723383
6332,76,68,-42.28204364321219
6340,84,68,-38.3304276585499
6996,4,76,-39.731222107620006
7004,12,76,-32.826648164345414
7012,20,76,-40.39058443219501
7020,28,76,-39.09702511083847
7028,36,76,-39.16880584103767
7036,44,76,-37.021027229933374
7044,52,76,-35.515919569967586
7052,60,76,-34.528880941941196
7060,68,76,-37.798600292056385
7068,76,76,-41.30444706179491
7076,84,76,-39.848882790564495
7732,4,84,-39.08817688543142
7740,12,84,-35.404898101046214
7748,20,84,-41.99459429822413
7756,28,84,-38.834775867940095
