,x,y,z
27078,30,294,-31.955875954177525
27090,42,294,-33.70556591299147
27102,54,294,-33.20817396887653
27114,66,294,-37.9964429594815
27126,78,294,-35.09330471013334
28158,6,306,-31.14775329077336
28170,18,306,-32.687568876965074
28182,30,306,-29.977967821681748
28194,42,306,-33.01408429414667
28206,54,306,-36.52046225168721
28218,66,306,-33.81289095545629
28230,78,306,-31.76280356690652
29262,6,318,-31.960252373379365
29274,18,318,-33.539361549132764
29286,30,318,-35.053158765312034
29298,42,318,-32.7435604370034
29310,54,318,-40.659881167039124
29322,66,318,-37.20421248521197
29334,78,318,-30.58308731236539
30366,6,330,-31.9443508350521
30378,18,330,-31.396134231743037
30390,30,330,-31.799737230441526
30402,42,330,-32.87917568701496
30414,54,330,-36.93097731075997
30426,66,330,-40.40127541617729
30438,78,330,-31.461720048045
31470,6,342,-30.40494034672929
31482,18,342,-36.037427132291434
31494,30,342,-34.74028834338628
31506,42,342,-32.62943436345123
31518,54,342,-36.56717511203234
31530,66,342,-41.408451534297654
31542,78,342,-30.458855617599994
32574,6,354,-31.16975367501394
32586,18,354,-35.88629238282004
32598,30,354,-35.09183861936883
32610,42,354,-33.86122550317189
32622,54,354,-37.98835098210146
32634,66,354,-36.78425779298947
32646,78,354,-29.122787698340666
33678,6,366,-33.13529082985796
33690,18,366,-36.33831446131604
33702,30,366,-33.06019838691812
33714,42,366,-31.547571391101698
33726,54,366,-38.12043304253196
33738,66,366,-32.27779339194427
33750,78,366,-30.482983812426248
34782,6,378,-38.320039343631464
34794,18,378,-32.05830752798093
34806,30,378,-34.242957105789074
34818,42,378,-35.493491625268454
34830,54,378,-35.064076575521405
34842,66,378,-31.108394514635187
34854,78,378,-31.160527789862176
35886,6,390,-34.832351880708586
35898,18,390,-31.541167625423906
35910,30,390,-31.35319572091828
35922,42,390,-31.984078615991137
35934,54,390,-38.569086653592834
35946,66,390,-27.710258509631647
35958,78,390,-30.53580615439825
36990,6,402,-31.344664417785708
37002,18,402,-31.936373271835837
37014,30,402,-28.474643503536505
37026,42,402,-32.55208512970083
37038,54,402,-35.15094690327428
37050,66,402,-30.942714387743564
37062,78,402,-28.980284943876114
38094,6,414,-31.174928515555845
38106,18,414,-29.218856881577274
38118,30,414,-30.590924430836743
38130,42,414,-35.14408430490649
38142,54,414,-31.70113959506761
38154,66,414,-29.40164385850225
38166,78,414,-29.252908586425452
39198,6,426,-32.267133079811735
39210,18,426,-28.6729358760885
39222,30,426,-31.963183620809296
39234,42,426,-36.55879508373608
39246,54,426,-36.29333379203147
39258,66,426,-27.16672608665407
39270,78,426,-29.128692279069686
40302,6,438,-31.400314086177907
40314,18,438,-30.612068057136995
40326,30,438,-32.240855906898545
40338,42,438,-35.83366654536862
40350,54,438,-31.228231669128707
40362,66,438,-30.299132965793078
40374,78,438,-28.671486039704583
41406,6,450,-29.28005840941835
41418,18,450,-29.473138716284794
41430,30,450,-30.428356729358704
41442,42,450,-30.31742765250455
41454,54,450,-29.487125032348857
41466,66,450,-28.334395854038988
41478,78,450,-28.475915532880727
42510,6,462,-29.753827597646055
42522,18,462,-28.29429769431225
42534,30,462,-27.95418335950485
42546,42,462,-29.87206048333008
42558,54,462,-30.925721326656248
42570,66,462,-29.101498741663043
42582,78,462,-30.790994509126364
43614,6,474,-30.427933456741968
43626,18,474,-30.93934595236035
43638,30,474,-29.952400977762977
43650,42,474,-31.45707345184322
43662,54,474,-30.059394350771953
43674,66,474,-32.58690181416697
43686,78,474,-29.21556647401245
44718,6,486,-29.167451922452404
44730,18,486,-29.840666394036038
44742,30,486,-32.68056314388127
44754,42,486,-30.376494109700282
44766,54,486,-27.95079401717068
44778,66,486,-31.78315634497303
44790,78,486,-32.11469947420036
45822,6,498,-36.83464849108759
45834,18,498,-33.098842050004684
45846,30,498,-30.552217884836445
45858,42,498,-29.0630134583163
45870,54,498,-27.574619080790505
45882,66,498,-28.358423067747147
45894,78,498,-32.354312961160915
46926,6,510,-29.245100242259333
46938,18,510,-30.16405019884008
46950,30,510,-29.275559575079072
46962,42,510,-30.30036386936002
46974,54,510,-27.742940933848452
46986,66,510,-29.644935079148645
46998,78,510,-32.593926448121465
48030,6,522,-30.15277224034017
48042,18,522,-34.43873546766302
48054,30,522,-31.41821433174315
48066,42,522,-32.435109133911155
48078,54,522,-27.599628005997246
48090,66,522,-32.593264603700106
48102,78,522,-34.926313052157056
49134,6,534,-31.091850260347385
49146,18,534,-32.651779956825095
49158,30,534,-31.15110485884822
49170,42,534,-29.051271894533645
49182,54,534,-27.709293020096936
49194,66,534,-32.031361732036686
49206,78,534,-35.43963025765012
50238,6,546,-31.907177455609187
50250,18,546,-31.91013052670751
50262,30,546,-31.985637446447974
50274,42,546,-31.03895153066242
50286,54,546,-30.24067111498071
50298,66,546,-28.75062183302648
50310,78,546,-35.8182170284811
51342,6,558,-29.870436997070797
51354,18,558,-33.24436219552322
51366,30,558,-29.98701054193111
51378,42,558,-25.031701932501996
51390,54,558,-27.611617215395352
51402,66,558,-27.52557006504582
51414,78,558,-36.64933482292812
52446,6,570,-25.80641947239319
52458,18,570,-29.541537792039392
52470,30,570,-30.251988849324178
52482,42,570,-28.597335510349673
52494,54,570,-29.94236656719245
52506,66,570,-32.954050948157104
52518,78,570,-34.70067332676847
53550,6,582,-25.257993338650824
53562,18,582,-27.38786510822479
53574,30,582,-25.59574908148236
53586,42,582,-28.295654295387344
53598,54,582,-30.658582226202824
53610,66,582,-31.410359439838636
53622,78,582,-28.201000210010225
54654,6,594,-28.455033998973803
54666,18,594,-34.27669846599393
54678,30,594,-26.303613024129817
54690,42,594,-29.536716328966477
54702,54,594,-29.579656764379312
54714,66,594,-28.75273367089244
54726,78,594,-29.551246215938015
55758,6,606,-31.10614686506903
55770,18,606,-27.93549800198351
55782,30,606,-26.974076199073494
55794,42,606,-29.05656699754408
55806,54,606,-31.403714088947236
55818,66,606,-31.57689803205476
55830,78,606,-30.90149222186581
56862,6,618,-28.549036850489358
56874,18,618,-32.087804195223164
56886,30,618,-30.964600137746203
56898,42,618,-25.328713501429906
56910,54,618,-32.39197351006714
56922,66,618,-27.400518039280698
56934,78,618,-27.83295665030818
57966,6,630,-26.843434248386444
57978,18,630,-29.471374190239295
57990,30,630,-28.47353893718414
58002,42,630,-27.297859398552966
58014,54,630,-29.84467321074409
58026,66,630,-31.265315974507104
58038,78,630,-29.992502456367202
59070,6,642,-31.285097220975945
59082,18,642,-35.01796206866581
59094,30,642,-27.9821662962679
59106,42,642,-27.205449765622816
59118,54,642,-32.191088550640636
59130,66,642,-33.46019945143655
59142,78,642,-30.799353071079267
60174,6,654,-27.985740595542893
60186,18,654,-37.04699916757675
60198,30,654,-29.879274561216743
60210,42,654,-27.02842341261659
60222,54,654,-32.03675806727222
60234,66,654,-31.783229226635072
60246,78,654,-30.17959106469287
61278,6,666,-28.714459417999215
61290,18,666,-29.843803849754217
61302,30,666,-26.8594294526873
61314,42,666,-26.354196770437596
61326,54,666,-30.854695737759002
61338,66,666,-31.46692411614361
61350,78,666,-32.41050896000861
62382,6,678,-33.36869253145011
62394,18,678,-33.0986922130007
62406,30,678,-27.9622762229545
62418,42,678,-27.98228167799305
62430,54,678,-35.13343370059268
62442,66,678,-28.759550577067586
62454,78,678,-30.314443210066585
63486,6,690,-33.45280951098958
63498,18,690,-30.55226609405044
63510,30,690,-28.2608086069098
63522,42,690,-27.8785228273976
63534,54,690,-30.503648451113712
63546,66,690,-26.992620243991226
63558,78,690,-31.699494540488896
64590,6,702,-29.916688182287032
64602,18,702,-29.319394368628274
64614,30,702,-27.916212324975653
64626,42,702,-30.54341180175222
64638,54,702,-30.070230925410385
64650,66,702,-28.76724236744922
64662,78,702,-31.231376163392234
65694,6,714,-31.939078256319128
65706,18,714,-29.876856255002036
65718,30,714,-27.63671047990477
65730,42,714,-32.45083824391175
65742,54,714,-28.92298562009739
65754,66,714,-30.213273099892398
65766,78,714,-29.127843737564785
66798,6,726,-31.390822707206933
66810,18,726,-27.89746828363751
66822,30,726,-28.003629941386492
66834,42,726,-34.2400488890956
66846,54,726,-29.904763177659184
66858,66,726,-34.28727807118305
66870,78,726,-31.015114073948716
67902,6,738,-32.3609443292832
67914,18,738,-29.040911397028193
67926,30,738,-31.02762819657476
67938,42,738,-29.62744287288879
67950,54,738,-31.277164751651323
67962,66,738,-31.7950928809747
67974,78,738,-30.03604254943741
69006,6,750,-31.91168477776722
69018,18,750,-27.582905882137922
69030,30,750,-32.438217943360684
69042,42,750,-28.760521553916174
69054,54,750,-30.921897151674997
69066,66,750,-30.01799153354024
69078,78,750,-29.6634169751866
70110,6,762,-29.554366779327616
70122,18,762,-27.918597304592822
70134,30,762,-28.785747728326275
70146,42,762,-30.15348213175337
70158,54,762,-27.794226621033268
70170,66,762,-30.052950443119265
70182,78,762,-28.95142897189437
71214,6,774,-29.690525324975468
71226,18,774,-30.07717471284123
71238,30,774,-28.92214245930287
71250,42,774,-31.56982968246443
71262,54,774,-33.03863808529143
71274,66,774,-33.05715060691885
71286,78,774,-31.166306345309494
72318,6,786,-29.82668387062332
72330,18,786,-31.169387471743395
72342,30,786,-29.807875653226823
72354,42,786,-30.284222987230184
72366,54,786,-30.350353609235455
72378,66,786,-32.48467008119009
72390,78,786,-32.40629323900039
73422,6,798,-29.962842416271172
73434,18,798,-31.994027721674023
73446,30,798,-29.723757486653746
73458,42,798,-33.48218593777366
73470,54,798,-30.106966551980655
73482,66,798,-29.79173904944029
73494,78,798,-29.29661385263022
74526,6,810,-30.099000961919028
74538,18,810,-32.28908832920557
74550,30,810,-31.0482248865333
74562,42,810,-32.9907665870923
74574,54,810,-29.530772993056413
74586,66,810,-32.34912822791943
74598,78,810,-31.753551140301926
75630,6,822,-31.046301290505454
75642,18,822,-31.443111877420133
75654,30,822,-29.929057424854655
75666,42,822,-30.062786146270255
75678,54,822,-28.712097554805617
75690,66,822,-30.392541570732472
75702,78,822,-32.07298558665933
76734,6,834,-29.671848068773983
76746,18,834,-31.02984879103731
76758,30,834,-29.470864174600457
76770,42,834,-30.37354719411246
76782,54,834,-31.007672230998367
76794,66,834,-30.81520339062102
76806,78,834,-34.117283944051735
77838,6,846,-29.142280083330075
77850,18,846,-29.442102157130314
77862,30,846,-30.81160152861133
77874,42,846,-29.61839480807066
77886,54,846,-34.58975677860786
77898,66,846,-31.169667598430095
77910,78,846,-37.14673975710477
78942,6,858,-30.469015894343734
78954,18,858,-29.33521780664054
78966,30,858,-33.24190511585001
78978,42,858,-28.723394728705717
78990,54,858,-29.54033803167996
79002,66,858,-30.38762524313812
79014,78,858,-32.99350539869064
80046,6,870,-31.890606457208563
80058,18,870,-29.94564754763227
80070,30,870,-29.31633414110347
80082,42,870,-26.76577255557118
80094,54,870,-28.875435666972123
80106,66,870,-30.339196543731198
80118,78,870,-29.89406324276562
81150,6,882,-33.74841549315778
81162,18,882,-30.083164691171838
81174,30,882,-30.625431596725665
81186,42,882,-27.163011562932965
81198,54,882,-27.83561928123003
81210,66,882,-30.461701718285497
81222,78,882,-28.55677584589566
82254,6,894,-30.923132209367544
82266,18,894,-32.32868336813257
82278,30,894,-29.84332544627042
82290,42,894,-29.485574339256246
82302,54,894,-29.625416225164646
82314,66,894,-28.01225842253588
82326,78,894,-26.268572582996736
83358,6,906,-29.84149093503868
83370,18,906,-32.31561957058729
83382,30,906,-30.191675008740887
83394,42,906,-28.857256883094614
83406,54,906,-30.50931324668113
83418,66,906,-27.190934636133576
83430,78,906,-25.462099860012362
84462,6,918,-28.586268346874196
84474,18,918,-33.390154186368314
84486,30,918,-29.118788713527174
84498,42,918,-28.42585264687898
84510,54,918,-30.22636456657234
84522,66,918,-27.832046394102655
84534,78,918,-25.421104398079795
85566,6,930,-29.05715126893242
85578,18,930,-29.965636243271106
85590,30,930,-28.255693620693407
85602,42,930,-28.797201005095108
85614,54,930,-28.759062125054022
85626,66,930,-27.262063064930555
85638,78,930,-27.36480077059682
86670,6,942,-29.52803419099064
86682,18,942,-28.433473829978837
86694,30,942,-26.759595612924844
86706,42,942,-27.995211086311965
86718,54,942,-30.3974853043211
86730,66,942,-26.763068808260197
86742,78,942,-29.94317832620778
87774,6,954,-30.77487820887582
87786,18,954,-29.057622521534583
87798,30,954,-26.55726050186137
87810,42,954,-29.692643663596932
87822,54,954,-30.500915561732278
87834,66,954,-28.73856278034137
87846,78,954,-28.87639109448122
88878,6,966,-31.520046551828194
88890,18,966,-31.139818291892396
88902,30,966,-28.273966965921932
88914,42,966,-26.558901068533935
88926,54,966,-26.212381263782593
88938,66,966,-30.874212173424397
88950,78,966,-31.65976905715391
89982,6,978,-29.627662244436557
89994,18,978,-30.344049699116297
90006,30,978,-26.79181018981915
90018,42,978,-29.292681804794263
90030,54,978,-25.734727798502036
90042,66,978,-30.642009779773463
90054,78,978,-27.036796856832296
91086,6,990,-30.61070497940853
91098,18,990,-27.236604454395817
91110,30,990,-26.61207372098555
91122,42,990,-27.266762280310502
91134,54,990,-27.479893320946264
91146,66,990,-28.55119535609785
91158,78,990,-26.646246475470974
92190,6,1002,-29.048749996329008
92202,18,1002,-28.61698465433626
92214,30,1002,-28.54514369906001
92226,42,1002,-27.76345791821207
92238,54,1002,-26.954452745384927
92250,66,1002,-28.613244347071568
92262,78,1002,-27.162961862414086
93294,6,1014,-28.19895233790406
93306,18,1014,-25.709446422874777
93318,30,1014,-30.355156317797473
93330,42,1014,-28.58369745660812
93342,54,1014,-25.905953432011106
93354,66,1014,-30.36347399419393
93366,78,1014,-26.784784923281464
94398,6,1026,-28.538581809949537
94410,18,1026,-25.652987562920853
94422,30,1026,-26.729242408157454
94434,42,1026,-24.652647341567484
94446,54,1026,-24.93844215803449
94458,66,1026,-28.336377749657135
94470,78,1026,-26.126881484529825
95502,6,1038,-29.479034440285073
95514,18,1038,-26.421223311451726
95526,30,1038,-28.4549394805494
95538,42,1038,-24.951183808170164
95550,54,1038,-26.037942750531933
95562,66,1038,-26.590018776146106
95574,78,1038,-28.548356382928215
96606,6,1050,-28.602908288017943
