,x,y,z
372,4.0,4.0,-39.069992378108225
380,12.0,4.0,-38.37278395564131
388,20.0,4.0,-38.14018550583415
396,28.0,4.0,-33.63370425243291
404,36.0,4.0,-34.87591010343644
412,44.0,4.0,-37.09161369685025
420,52.0,4.0,-36.18699679654376
428,60.0,4.0,-37.79865859672267
436,68.0,4.0,-39.09485074628179
444,76.0,4.0,-41.78427622800022
452,84.0,4.0,-39.87103895522457
1108,4.0,12.0,-38.302819971226256
1116,12.0,12.0,-37.69216556533293
1124,20.0,12.0,-37.48550952760192
1132,28.0,12.0,-33.633906101611025
1140,36.0,12.0,-34.7181577806192
1148,44.0,12.0,-36.91051268462401
1156,52.0,12.0,-37.49640986454428
1164,60.0,12.0,-38.04657774683351
1172,68.0,12.0,-38.61231413364946
1180,76.0,12.0,-42.15732081127614
1188,84.0,12.0,-40.72095198737318
1844,4.0,20.0,-36.77689735837111
1852,12.0,20.0,-37.47407873382234
1860,20.0,20.0,-36.653199593476664
1868,28.0,20.0,-33.67831311270947
1876,36.0,20.0,-34.78254766006653
1884,44.0,20.0,-36.7802420561623
1892,52.0,20.0,-38.03543093359894
1900,60.0,20.0,-38.075848184444126
1908,68.0,20.0,-38.37004300277279
1916,76.0,20.0,-41.92544182177829
1924,84.0,20.0,-41.55269400121056
2580,4.0,28.0,-35.99811567740868
2588,12.0,28.0,-38.19978627027368
2596,20.0,28.0,-35.490709309344524
2604,28.0,28.0,-33.72561594807101
2612,36.0,28.0,-35.41047278302288
2620,44.0,28.0,-36.718650118133965
2628,52.0,28.0,-38.86305793493313
2636,60.0,28.0,-38.62168829941678
2644,68.0,28.0,-38.03576186627025
2652,76.0,28.0,-41.01966825680735
2660,84.0,28.0,-41.7632820613197
3316,4.0,36.0,-37.11994664603293
3324,12.0,36.0,-38.625019906933716
3332,20.0,36.0,-33.78771139853453
3340,28.0,36.0,-34.83337979895861
3348,36.0,36.0,-36.46588121731718
3356,44.0,36.0,-36.62717004424187
3364,52.0,36.0,-40.0629930399112
3372,60.0,36.0,-38.91821614526925
3380,68.0,36.0,-37.30982725215433
3388,76.0,36.0,-40.51770162971637
3396,84.0,36.0,-42.46371566518573
4052,4.0,44.0,-38.20006554242464
4060,12.0,44.0,-38.294860811949206
4068,20.0,44.0,-32.914498373171696
4076,28.0,44.0,-36.844904036740104
4084,36.0,44.0,-37.71258013380775
4092,44.0,44.0,-36.64658379114337
4100,52.0,44.0,-40.57533422702764
4108,60.0,44.0,-38.488832320812065
4116,68.0,44.0,-37.43509782744635
4124,76.0,44.0,-41.46724233647248
4132,84.0,44.0,-41.969538711004745
4788,4.0,52.0,-37.934557505405515
4796,12.0,52.0,-37.1522291990517
4804,20.0,52.0,-33.7310234589628
4812,28.0,52.0,-38.07754146302242
4820,36.0,52.0,-38.08134983629762
4828,44.0,52.0,-36.838308721398064
4836,52.0,52.0,-40.15350237096034
4844,60.0,52.0,-37.93790121469385
4852,68.0,52.0,-38.35471269447823
4860,76.0,52.0,-42.4957162206913
4868,84.0,52.0,-40.43998463556068
5524,4.0,60.0,-37.76134650574688
5532,12.0,60.0,-36.5610425823006
5540,20.0,60.0,-35.32250888374698
5548,28.0,60.0,-38.232054631412396
5556,36.0,60.0,-38.30337193735456
5564,44.0,60.0,-37.2956146263125
5572,52.0,60.0,-38.44558556964663
5580,60.0,60.0,-37.0226877180293
5588,68.0,60.0,-38.9299756067154
5596,76.0,60.0,-42.51739265078809
5604,84.0,60.0,-39.490460310777046
6260,4.0,68.0,-38.212934516031716
6268,12.0,68.0,-35.862616561344836
6276,20.0,68.0,-36.3845533435814
6284,28.0,68.0,-38.86115676942503
6292,36.0,68.0,-39.639404251744956
6300,44.0,68.0,-38.43328820615961
6308,52.0,68.0,-37.28100951538053
6316,60.0,68.0,-36.373095027321156
6324,68.0,68.0,-38.606588698797346
6332,76.0,68.0,-41.37892469039415
6340,84.0,68.0,-40.035131198542835
6996,4.0,76.0,-38.61064661677791
7004,12.0,76.0,-34.56473453160959
7012,20.0,76.0,-37.39164497964056
7020,28.0,76.0,-40.03493219327364
7028,36.0,76.0,-39.403122095336485
7036,44.0,76.0,-38.32057845703725
7044,52.0,76.0,-37.01853722635613
7052,60.0,76.0,-36.06891159126822
7060,68.0,76.0,-38.423402220660854
7068,76.0,76.0,-41.4175129994453
7076,84.0,76.0,-42.089281709297325
7732,4.0,84.0,-38.42196140679368
7740,12.0,84.0,-34.77788231730073
7748,20.0,84.0,-38.9100244082004
7756,28.0,84.0,-40.37177753574713
7764,36.0,84.0,-38.32630593215019
7772,44.0,84.0,-37.31401498020195
7780,52.0,84.0,-35.81569005371263
7788,60.0,84.0,-35.20176221306914
7796,68.0,84.0,-38.63042198602275
7804,76.0,84.0,-42.80712660445443
7812,84.0,84.0,-42.41347555027854
8468,4.0,92.0,-36.86506635194178
8476,12.0,92.0,-35.942721587680595
8484,20.0,92.0,-39.328408094895124
8492,28.0,92.0,-39.61277638056399
8500,36.0,92.0,-38.253443390729636
8508,44.0,92.0,-36.64994524775121
8516,52.0,92.0,-34.30827627693253
8524,60.0,92.0,-35.590570200995735
8532,68.0,92.0,-39.89436135154857
8540,76.0,92.0,-43.521702077134556
8548,84.0,92.0,-41.45545046255217
9204,4.0,100.0,-35.61671886438797
9212,12.0,100.0,-36.57418916265266
9220,20.0,100.0,-38.90238499038397
9228,28.0,100.0,-39.254554104208616
9236,36.0,100.0,-37.97602257848324
9244,44.0,100.0,-35.15679406405186
9252,52.0,100.0,-33.77741268236129
9260,60.0,100.0,-37.7214364408711
9268,68.0,100.0,-42.23203515933899
9276,76.0,100.0,-43.86660478377907
9284,84.0,100.0,-40.700112524259104
9940,4.0,108.0,-35.99072650686928
9948,12.0,108.0,-37.8995155498353
9956,20.0,108.0,-38.76132516450732
9964,28.0,108.0,-38.63876308030275
9972,36.0,108.0,-37.20771435009412
9980,44.0,108.0,-33.70390462136587
9988,52.0,108.0,-34.49839065629837
9996,60.0,108.0,-38.50488864004513
10004,68.0,108.0,-41.950739081689235
10012,76.0,108.0,-43.48330940924792
10020,84.0,108.0,-41.30020095022396
10676,4.0,116.0,-36.243895373775686
10684,12.0,116.0,-39.02331104055647
10692,20.0,116.0,-38.507840842365454
10700,28.0,116.0,-38.201428225186675
10708,36.0,116.0,-36.64172302686781
10716,44.0,116.0,-33.289088644352326
10724,52.0,116.0,-35.04080634125957
10732,60.0,116.0,-38.200540012112384
10740,68.0,116.0,-39.963808022239384
10748,76.0,116.0,-42.66948452524548
10756,84.0,116.0,-43.602886591455686
11412,4.0,124.0,-36.84478331584823
11420,12.0,124.0,-39.76066078928756
11428,20.0,124.0,-38.32473377083372
11436,28.0,124.0,-38.46712686473705
11444,36.0,124.0,-36.06367000272917
11452,44.0,124.0,-32.98620624237246
11460,52.0,124.0,-34.8265660869043
11468,60.0,124.0,-39.37340912934966
11476,68.0,124.0,-40.36150371711143
11484,76.0,124.0,-40.65412318955779
11492,84.0,124.0,-44.110122066298636
12148,4.0,132.0,-37.10268179863777
12156,12.0,132.0,-40.19034394369148
12164,20.0,132.0,-38.00219425039089
12172,28.0,132.0,-38.16103780702476
12180,36.0,132.0,-35.63874307920248
12188,44.0,132.0,-33.43440959076518
12196,52.0,132.0,-35.76994017497255
12204,60.0,132.0,-39.7878952804693
12212,68.0,132.0,-40.69463466924961
12220,76.0,132.0,-39.388940821282006
12228,84.0,132.0,-43.62212472523815
12884,4.0,140.0,-36.89919535218402
12892,12.0,140.0,-40.26345912195503
12900,20.0,140.0,-37.809953243471824
12908,28.0,140.0,-37.575456724679675
12916,36.0,140.0,-35.33147497476473
12924,44.0,140.0,-33.510047518551175
12932,52.0,140.0,-36.16236898846858
12940,60.0,140.0,-38.552098577703674
12948,68.0,140.0,-39.56119380237252
12956,76.0,140.0,-39.02510685754531
12964,84.0,140.0,-42.150369611703674
13620,4.0,148.0,-36.64125960134533
13628,12.0,148.0,-40.20316293454335
13636,20.0,148.0,-37.75017190508196
13644,28.0,148.0,-36.5703650396924
13652,36.0,148.0,-34.432666587603386
13660,44.0,148.0,-33.21958482889527
13668,52.0,148.0,-35.959981631265514
13676,60.0,148.0,-38.4535023677164
13684,68.0,148.0,-39.12246682482088
13692,76.0,148.0,-38.54670163692573
13700,84.0,148.0,-40.26230302473962
14356,4.0,156.0,-35.73238306891465
14364,12.0,156.0,-38.60636936968741
14372,20.0,156.0,-37.29182744672537
14380,28.0,156.0,-35.91757407359066
14388,36.0,156.0,-33.831760406116885
14396,44.0,156.0,-33.580250685712436
14404,52.0,156.0,-35.825871532675194
14412,60.0,156.0,-37.14675684529237
14420,68.0,156.0,-38.67963350472652
14428,76.0,156.0,-40.58990996605509
14436,84.0,156.0,-39.842686350181715
15092,4.0,164.0,-34.527413533439315
15100,12.0,164.0,-36.484884768425616
15108,20.0,164.0,-36.57886852049541
15116,28.0,164.0,-35.762297672271025
15124,36.0,164.0,-33.6820633299475
15132,44.0,164.0,-33.165472631507555
15140,52.0,164.0,-35.55534670265252
15148,60.0,164.0,-36.66440387665509
15156,68.0,164.0,-38.6764211122792
15164,76.0,164.0,-41.40930644007843
15172,84.0,164.0,-38.998240129245126
15828,4.0,172.0,-34.043324689016885
15836,12.0,172.0,-35.351286704576296
15844,20.0,172.0,-36.25464733930328
15852,28.0,172.0,-34.632095611467925
15860,36.0,172.0,-33.58663407250022
15868,44.0,172.0,-33.206564344764345
15876,52.0,172.0,-34.62894954578432
15884,60.0,172.0,-37.263545097583226
15892,68.0,172.0,-39.29940387438963
15900,76.0,172.0,-40.554157756866566
15908,84.0,172.0,-38.16595573053315
16564,4.0,180.0,-34.92666218807851
16572,12.0,180.0,-36.085142722852595
16580,20.0,180.0,-37.90423868374742
16588,28.0,180.0,-33.405280224949784
16596,36.0,180.0,-33.4249314916799
16604,44.0,180.0,-34.19779611737324
16612,52.0,180.0,-34.130442576244384
16620,60.0,180.0,-37.83899887333215
16628,68.0,180.0,-40.45412662199562
16636,76.0,180.0,-41.086400450421124
16644,84.0,180.0,-38.11500610369908
17300,4.0,188.0,-34.983059985456855
17308,12.0,188.0,-36.47087998815675
17316,20.0,188.0,-38.25635272834378
17324,28.0,188.0,-33.1933147013341
17332,36.0,188.0,-33.826271293564886
17340,44.0,188.0,-34.42690279118526
17348,52.0,188.0,-33.830488312285844
17356,60.0,188.0,-37.78962862906035
17364,68.0,188.0,-40.042622231898015
17372,76.0,188.0,-40.32030192444173
17380,84.0,188.0,-38.505756458832316
18036,4.0,196.0,-34.6255250927967
18044,12.0,196.0,-35.72966944119482
18052,20.0,196.0,-37.0946680552974
18060,28.0,196.0,-33.53197032694784
18068,36.0,196.0,-34.23917439392305
18076,44.0,196.0,-34.077378291928255
18084,52.0,196.0,-33.83415763534584
18092,60.0,196.0,-36.575876898302475
18100,68.0,196.0,-38.54030179893629
18108,76.0,196.0,-39.647753092482844
18116,84.0,196.0,-38.86679807081715
18772,4.0,204.0,-35.16667173402603
18780,12.0,204.0,-34.885637981651755
18788,20.0,204.0,-36.736303995598185
18796,28.0,204.0,-33.91248453319518
18804,36.0,204.0,-33.735296281711015
18812,44.0,204.0,-33.61688197681864
18820,52.0,204.0,-34.71679342209987
18828,60.0,204.0,-35.88602220386352
18836,68.0,204.0,-36.511496599099736
18844,76.0,204.0,-39.76250093155167
18852,84.0,204.0,-38.016358329136224
19508,4.0,212.0,-34.73482089812997
19516,12.0,212.0,-34.27858109379884
19524,20.0,212.0,-36.85284894064374
19532,28.0,212.0,-35.05349041349038
19540,36.0,212.0,-33.223935624042895
19548,44.0,212.0,-32.93608280443058
19556,52.0,212.0,-34.07480259320356
19564,60.0,212.0,-33.89682828894711
19572,68.0,212.0,-34.2396965589676
19580,76.0,212.0,-40.41803839274366
19588,84.0,212.0,-37.54836272722911
20244,4.0,220.0,-34.47101688516842
20252,12.0,220.0,-35.14150580031166
20260,20.0,220.0,-36.698823970839435
20268,28.0,220.0,-35.70592636977092
20276,36.0,220.0,-32.56051910789665
20284,44.0,220.0,-32.41412648686502
20292,52.0,220.0,-33.36810681265831
