,x,y,z
1116,12,12,
1140,36,12,
1164,60,12,
3324,12,36,
3348,36,36,-35.60589889088327
3372,60,36,-38.81510219942808
5532,12,60,-36.533229752834046
5556,36,60,-35.98977996126449
5580,60,60,-35.91612290947368
7740,12,84,-36.97620945986332
7764,36,84,-37.12267428433539
7788,60,84,-37.74878209985723
9948,12,108,-38.39645474410413
9972,36,108,-38.33584635435534
9996,60,108,-37.62742028765289
12156,12,132,-36.27406893863494
12180,36,132,-37.94245940405496
12204,60,132,-39.63373905073379
14364,12,156,-33.94760239495037
14388,36,156,-36.52978473734227
14412,60,156,-36.30839988544636
16572,12,180,-35.985911688615715
16596,36,180,-34.72631791516154
16620,60,180,-36.556262718830894
18780,12,204,-33.63557991103787
18804,36,204,-33.447784299358375
18828,60,204,-35.109364184499924
20988,12,228,-33.67970248997268
21012,36,228,-33.09549358772813
21036,60,228,-33.41357329435294
23196,12,252,-33.49854532028749
23220,36,252,-33.073787879523685
23244,60,252,-32.7637466591195
25404,12,276,-36.217302489938476
25428,36,276,-30.489899826095517
25452,60,276,-29.719531695497928
27612,12,300,-34.29597358680428
27636,36,300,-30.554496187364048
27660,60,300,-29.668593950113788
29820,12,324,-32.28932944442752
29844,36,324,-30.52516259620562
29868,60,324,-40.00568482556975
32028,12,348,-33.78485426410036
32052,36,348,-35.551799205344366
32076,60,348,-35.579134471378026
34236,12,372,-29.604776961895013
34260,36,372,-27.419821255504615
34284,60,372,-31.985142575252905
36444,12,396,-31.522783812508493
36468,36,396,-37.07340346457955
36492,60,396,-34.740882981097286
38652,12,420,-31.88188006842112
38676,36,420,-36.64634995146779
38700,60,420,-26.485435105801674
40860,12,444,-29.696812964902932
40884,36,444,-32.10237796603338
40908,60,444,-34.34533730165767
43068,12,468,-31.650574465124944
43092,36,468,-35.356594525262366
43116,60,468,-35.665677699636746
45276,12,492,-30.935452542783445
45300,36,492,-33.93838942729119
45324,60,492,-38.29845462076629
47484,12,516,-31.068687045313236
47508,36,516,-35.34645085786836
47532,60,516,-26.215368992947337
49692,12,540,-30.851219196555093
49716,36,540,-31.414604566912054
49740,60,540,-26.841043735879474
51900,12,564,-31.110567174960487
51924,36,564,-27.764710773908753
51948,60,564,-26.46832552564785
54108,12,588,-24.837947185374848
54132,36,588,-27.344641130291674
54156,60,588,-28.30800197606436
56316,12,612,-24.783970137316345
56340,36,612,-26.9245714866746
56364,60,612,-29.945614112586494
58524,12,636,-26.664400086941868
58548,36,636,-27.38842307181752
58572,60,636,-27.625234863305497
60732,12,660,-33.26393725537778
60756,36,660,-33.6194055944397
60780,60,660,-36.36127593822655
62940,12,684,-30.312476667019304
62964,36,684,-27.73052822304169
62988,60,684,-30.687037660639998
65148,12,708,-33.306298172218945
65172,36,708,-28.926610410759853
65196,60,708,-28.51441198716444
67356,12,732,-28.953045307960675
67380,36,732,-30.12493981161313
67404,60,732,-32.14474241835499
69564,12,756,-28.18441886829003
69588,36,756,-28.377747839574358
69612,60,756,-27.89988003736878
71772,12,780,-29.345336748248776
71796,36,780,-29.814995489805312
71820,60,780,-30.777122366443137
73980,12,804,-30.00184354132451
74004,36,804,-30.51565157279223
74028,60,804,-29.561319809796778
76188,12,828,-31.4669878626423
76212,36,828,-31.151941842897507
76236,60,828,-28.396141009681422
78396,12,852,-33.00117263129014
78420,36,852,-32.82901316501942
78444,60,852,-30.799809695059608
80604,12,876,-31.214986253074454
80628,36,876,-31.25883716884235
80652,60,876,-29.82836190505227
82812,12,900,-29.212316058247183
82836,36,900,-28.50173065571429
82860,60,900,-26.38467465664363
85020,12,924,-28.74101493407136
85044,36,924,-31.01661260577618
85068,60,924,-31.462311350984745
87228,12,948,-29.50300298056533
87252,36,948,-28.46326388027726
87276,60,948,-29.786445163243442
89436,12,972,-31.015068638694434
89460,36,972,-30.119175061288743
89484,60,972,-26.190102509254313
91644,12,996,-33.7936822986158
91668,36,996,-30.034256130719406
91692,60,996,-31.072410560048382
93852,12,1020,-30.885375723609364
93876,36,1020,-26.086693249144396
93900,60,1020,-25.353357327162826
96060,12,1044,-27.57345527899795
96084,36,1044,-30.967456428683786
96108,60,1044,-26.67318349750275
98268,12,1068,-24.83605448692224
98292,36,1068,-25.998424891059056
98316,60,1068,-25.77832201322178
100476,12,1092,-28.07867218164443
100500,36,1092,-28.616483161958655
100524,60,1092,-25.16721958287349
102684,12,1116,-31.094923667002327
102708,36,1116,-31.90205546275507
102732,60,1116,-29.54362986782436
104892,12,1140,-33.21723958752007
104916,36,1140,-34.62029001834679
104940,60,1140,-30.629742588673068
107100,12,1164,-33.54229775101541
107124,36,1164,-30.61600747161691
107148,60,1164,-26.474512688882204
109308,12,1188,-32.78697719535311
109332,36,1188,-31.442233913604376
109356,60,1188,-23.244902519909957
111516,12,1212,-30.188487602115888
111540,36,1212,-30.121377897823116
111564,60,1212,-22.70163297648433
113724,12,1236,-29.49485577661123
113748,36,1236,-27.426211084565956
113772,60,1236,-24.201998294222534
115932,12,1260,-27.5921821217347
115956,36,1260,-25.78585256655453
115980,60,1260,-21.949091487989133
118140,12,1284,-24.90926057873882
118164,36,1284,-25.465595230531505
118188,60,1284,-26.52827740134846
120348,12,1308,-23.206654572054752
120372,36,1308,-28.11488868965164
120396,60,1308,-26.464568358177115
122556,12,1332,-22.97001850512091
122580,36,1332,-26.609393602509577
122604,60,1332,-24.41786096212264
124764,12,1356,-21.942046275094178
124788,36,1356,-23.729507391417833
124812,60,1356,-22.58550221094145
126972,12,1380,-23.41007424323844
126996,36,1380,-23.078791810230655
