,x,y,z
186,2.0,2.0,-41.139721147566355
190,6.0,2.0,-38.58204850356952
194,10.0,2.0,-36.38280439401521
198,14.0,2.0,-36.91233458459928
202,18.0,2.0,-40.69599522561613
206,22.0,2.0,-40.16498672845288
210,26.0,2.0,-35.16863798896382
214,30.0,2.0,-33.151687487690445
218,34.0,2.0,-32.625935005044184
222,38.0,2.0,-34.23191846063445
226,42.0,2.0,-36.62568274293894
230,46.0,2.0,-37.42305177303611
234,50.0,2.0,-34.984837806872264
238,54.0,2.0,-36.02009225350333
242,58.0,2.0,-37.34495344477623
246,62.0,2.0,-38.647423502237146
250,66.0,2.0,-38.34633846691112
254,70.0,2.0,-37.277739238652465
258,74.0,2.0,-39.18570113247591
262,78.0,2.0,-39.80302000637798
266,82.0,2.0,-40.74928349798623
270,86.0,2.0,-36.648756225131145
554,2.0,6.0,-39.80115095135405
558,6.0,6.0,-37.6612173723232
562,10.0,6.0,-36.29537236974273
566,14.0,6.0,-37.53603964147804
570,18.0,6.0,-39.093498692489845
574,22.0,6.0,-37.64679536093588
578,26.0,6.0,-33.776912957704326
582,30.0,6.0,-32.882266442622175
586,34.0,6.0,-33.18852754064532
590,38.0,6.0,-34.94737177994821
594,42.0,6.0,-37.31440738856494
598,46.0,6.0,-37.4556857928494
602,50.0,6.0,-34.23566611044958
606,54.0,6.0,-36.12034016204489
610,58.0,6.0,-37.04210712721126
614,62.0,6.0,-38.344871837818886
618,66.0,6.0,-37.81238575883684
622,70.0,6.0,-38.49967606446906
626,74.0,6.0,-40.06276427685371
630,78.0,6.0,-41.985446121998265
634,82.0,6.0,-42.76340843336883
638,86.0,6.0,-37.37427431926092
922,2.0,10.0,-39.1887588251823
926,6.0,10.0,-37.03539625624455
930,10.0,10.0,-37.15674144184625
934,14.0,10.0,-38.31395852715133
938,18.0,10.0,-38.271493595895144
942,22.0,10.0,-36.66605086866604
946,26.0,10.0,-33.797759921839024
950,30.0,10.0,-32.720902769305106
954,34.0,10.0,-33.65716443506083
958,38.0,10.0,-35.64174218657733
962,42.0,10.0,-36.917733188255866
966,46.0,10.0,-37.25089291964849
970,50.0,10.0,-36.056926063155004
974,54.0,10.0,-37.15142041476836
978,58.0,10.0,-38.36916513127309
982,62.0,10.0,-38.222349939260326
986,66.0,10.0,-37.37250708066367
990,70.0,10.0,-39.045734399458475
994,74.0,10.0,-41.156545994012255
998,78.0,10.0,-43.05143349667271
1002,82.0,10.0,-42.054929206296016
1006,86.0,10.0,-38.03182694788821
1290,2.0,14.0,-38.14966325955168
1294,6.0,14.0,-36.25468821671779
1298,10.0,14.0,-37.28439579880214
1302,14.0,14.0,-38.77076657511608
1306,18.0,14.0,-38.21843602251532
1310,22.0,14.0,-36.78680097334519
