,x,y,z
930,10.0,10.0,-33.35482584749375
950,30.0,10.0,-34.21958631087637
970,50.0,10.0,-34.57635199881579
990,70.0,10.0,-37.12431993051157
2770,10.0,30.0,-33.540061891911876
2790,30.0,30.0,-35.52311303623208
2810,50.0,30.0,-39.13002792459215
2830,70.0,30.0,-39.76412292809628
4610,10.0,50.0,-33.46471174940561
4630,30.0,50.0,-36.710870972468236
4650,50.0,50.0,-39.84325775891813
4670,70.0,50.0,-40.13760065153098
6450,10.0,70.0,-33.18594480867513
6470,30.0,70.0,-37.68385270091599
6490,50.0,70.0,-38.24756920852624
6510,70.0,70.0,-38.356395957982215
8290,10.0,90.0,-35.44294714710927
8310,30.0,90.0,-39.405747795119176
8330,50.0,90.0,-36.65931770928632
8350,70.0,90.0,-38.627119217829815
10130,10.0,110.0,-37.777905524269165
10150,30.0,110.0,-39.83041957841728
10170,50.0,110.0,-37.02202698661472
10190,70.0,110.0,-39.47995878423771
11970,10.0,130.0,-37.357344512105016
11990,30.0,130.0,-36.10637833263352
12010,50.0,130.0,-36.42339317210133
12030,70.0,130.0,-40.34039031752271
13810,10.0,150.0,-34.66818514121757
13830,30.0,150.0,-33.90990850935506
13850,50.0,150.0,-34.944340865482
13870,70.0,150.0,-40.06913691221709
15650,10.0,170.0,-36.50573578358418
15670,30.0,170.0,-34.104659225921765
15690,50.0,170.0,-35.81920450225495
15710,70.0,170.0,-40.416021661953636
17490,10.0,190.0,-36.10130804659132
17510,30.0,190.0,-35.48552159546697
17530,50.0,190.0,-35.37063029118599
17550,70.0,190.0,-39.41143253946708
19330,10.0,210.0,-34.845915371177774
19350,30.0,210.0,-34.181324938041406
19370,50.0,210.0,-32.884688090791585
19390,70.0,210.0,-35.35978068309817
21170,10.0,230.0,-33.65471597980807
21190,30.0,230.0,-33.341708373071505
21210,50.0,230.0,-33.55754477057449
21230,70.0,230.0,-37.310504922376815
23010,10.0,250.0,-36.44838762620517
23030,30.0,250.0,-35.25511284605478
23050,50.0,250.0,-35.00195207586667
23070,70.0,250.0,-33.66291755223812
24850,10.0,270.0,-31.59161236689149
24870,30.0,270.0,-32.48902025949391
24890,50.0,270.0,-33.611168775541785
24910,70.0,270.0,-33.788668716006626
26690,10.0,290.0,-35.89331608003311
26710,30.0,290.0,-33.34913191480748
26730,50.0,290.0,-31.997273225513254
26750,70.0,290.0,-37.409594066446935
28530,10.0,310.0,-34.969049551972844
28550,30.0,310.0,-37.421799513185135
28570,50.0,310.0,-35.89910182217948
28590,70.0,310.0,-37.04714071735278
