,x,y,z
1116,12.0,12.0,-36.61042160034601
1140,36.0,12.0,-35.49395779088041
1164,60.0,12.0,-37.88972458605562
3324,12.0,36.0,-33.76219640309527
3348,36.0,36.0,-35.90657461649058
3372,60.0,36.0,-39.46281826925697
5532,12.0,60.0,-36.78811831000742
5556,36.0,60.0,-37.17200379655038
5580,60.0,60.0,-39.63348903136468
7740,12.0,84.0,-39.46291894134015
7764,36.0,84.0,-37.462670898549476
7788,60.0,84.0,-38.690410076040834
9948,12.0,108.0,-37.22784526143534
9972,36.0,108.0,-36.13359016705031
9996,60.0,108.0,-37.12598707744345
12156,12.0,132.0,-35.33287394441186
12180,36.0,132.0,-35.30266973725846
12204,60.0,132.0,-36.23314948896723
14364,12.0,156.0,-34.61768087124214
14388,36.0,156.0,-34.99277242678788
14412,60.0,156.0,-36.76084928139681
16572,12.0,180.0,-35.15114125476064
16596,36.0,180.0,-33.77835459438065
16620,60.0,180.0,-36.03597932528941
18780,12.0,204.0,-36.6214893348563
18804,36.0,204.0,-34.203299550767724
18828,60.0,204.0,-34.97672968001031
20988,12.0,228.0,-34.772102177777164
21012,36.0,228.0,-35.47517609530139
21036,60.0,228.0,-34.75690925432347
23196,12.0,252.0,-31.51649260725518
23220,36.0,252.0,-33.23844918696128
23244,60.0,252.0,-33.31650881874107
25404,12.0,276.0,-32.45907552129743
25428,36.0,276.0,-30.53399421246232
25452,60.0,276.0,-35.509974491633436
27612,12.0,300.0,-34.04550120762505
27636,36.0,300.0,-31.616783924112692
27660,60.0,300.0,-34.645090182293835
29820,12.0,324.0,-34.607099903626676
29844,36.0,324.0,-33.39345284758149
29868,60.0,324.0,-31.46062398571264
32028,12.0,348.0,-33.64395779052692
32052,36.0,348.0,-33.16303834811212
32076,60.0,348.0,-32.37715584658424
34236,12.0,372.0,-32.19372886780416
34260,36.0,372.0,-34.81408389986085
34284,60.0,372.0,-34.05592829875376
36444,12.0,396.0,-30.818715104149263
36468,36.0,396.0,-34.716715375905316
36492,60.0,396.0,-34.827029550212856
38652,12.0,420.0,-29.374029716001914
38676,36.0,420.0,-30.398119989229837
38700,60.0,420.0,-32.80696964816693
40860,12.0,444.0,-29.72794182142648
40884,36.0,444.0,-29.62763774934616
40908,60.0,444.0,-30.195118952506267
43068,12.0,468.0,-32.11699899125072
43092,36.0,468.0,-30.77040882209011
43116,60.0,468.0,-30.52647995721725
45276,12.0,492.0,-30.887144025688553
45300,36.0,492.0,-31.472066303156854
45324,60.0,492.0,-32.89388060290505
47484,12.0,516.0,-31.329950409336405
47508,36.0,516.0,-29.947084336840003
47532,60.0,516.0,-30.432176188445574
49692,12.0,540.0,-31.917776472251486
49716,36.0,540.0,-31.20676909416795
49740,60.0,540.0,-32.07733627443409
51900,12.0,564.0,-31.151552611074237
51924,36.0,564.0,-31.737769638172892
51948,60.0,564.0,-32.179559150679694
54108,12.0,588.0,-30.091391134233845
54132,36.0,588.0,-30.92246255435915
54156,60.0,588.0,-30.764192919844717
56316,12.0,612.0,-26.778250528992565
56340,36.0,612.0,-29.567835366974094
56364,60.0,612.0,-30.032083348726193
58524,12.0,636.0,-30.03559890843548
58548,36.0,636.0,-29.806881232415552
58572,60.0,636.0,-29.47678469077485
60732,12.0,660.0,-31.417951599848795
60756,36.0,660.0,-31.77303114294161
60780,60.0,660.0,-30.495236574948642
62940,12.0,684.0,-27.930291410764617
62964,36.0,684.0,-31.624415237126247
62988,60.0,684.0,-33.329692725399475
65148,12.0,708.0,-27.080732776901446
65172,36.0,708.0,-32.3841904549004
65196,60.0,708.0,-36.08627577516123
67356,12.0,732.0,-29.90676989222996
67380,36.0,732.0,-30.44227124960523
67404,60.0,732.0,-30.756829621919383
69564,12.0,756.0,-31.536697469939483
69588,36.0,756.0,-30.099517196930215
69612,60.0,756.0,-28.027868430681465
