,x,y,z
60550,14.0,658.0,-28.27322542277455
60578,42.0,658.0,-28.789997340187462
60606,70.0,658.0,-32.622078226964454
63126,14.0,686.0,-28.537711535487052
63154,42.0,686.0,-30.208870881292217
63182,70.0,686.0,-28.32905878576123
65702,14.0,714.0,-33.912870834268226
65730,42.0,714.0,-28.382039950850395
65758,70.0,714.0,-28.182744350677922
68278,14.0,742.0,-32.016138403477605
68306,42.0,742.0,-29.045399168467856
68334,70.0,742.0,-29.841197317619056
70854,14.0,770.0,-27.822759436293364
70882,42.0,770.0,-30.74539118737247
70910,70.0,770.0,-28.38589557290087
73430,14.0,798.0,-31.785210787432195
73458,42.0,798.0,-30.321791271623763
73486,70.0,798.0,-30.382985691931744
76006,14.0,826.0,-30.573708079880042
76034,42.0,826.0,-31.260161425643812
76062,70.0,826.0,-32.952769481955315
78582,14.0,854.0,-31.0062332009824
78610,42.0,854.0,-30.5156019045029
78638,70.0,854.0,-32.00737144739561
81158,14.0,882.0,-30.812083071909058
81186,42.0,882.0,-29.89255402062088
81214,70.0,882.0,-31.41685917071193
83734,14.0,910.0,-29.84698093237895
83762,42.0,910.0,-29.371811971408643
83790,70.0,910.0,-31.729875798864537
86310,14.0,938.0,-29.70837690870955
86338,42.0,938.0,-26.868064348859605
86366,70.0,938.0,-31.94454284231881
88886,14.0,966.0,-28.708218645432684
88914,42.0,966.0,-25.79042118033794
88942,70.0,966.0,-26.984171440719244
91462,14.0,994.0,-29.66913764829661
91490,42.0,994.0,-31.40691662229151
91518,70.0,994.0,-26.21498753547136
94038,14.0,1022.0,-25.656241688138522
94066,42.0,1022.0,-28.209645169456333
94094,70.0,1022.0,-25.987918951088776
96614,14.0,1050.0,-26.687326505902444
96642,42.0,1050.0,-26.71325015959688
96670,70.0,1050.0,-27.69471888209256
99190,14.0,1078.0,-25.637754258276765
99218,42.0,1078.0,-25.573344578562832
99246,70.0,1078.0,-27.51977816930649
101766,14.0,1106.0,-30.679271994516373
101794,42.0,1106.0,-30.249474994271548
101822,70.0,1106.0,-26.581015916419783
104342,14.0,1134.0,-31.254582566214097
104370,42.0,1134.0,-32.00503347417052
104398,70.0,1134.0,-27.5488017438553
106918,14.0,1162.0,-36.3935312015287
106946,42.0,1162.0,-30.215318784815906
106974,70.0,1162.0,-26.902437243745148
109494,14.0,1190.0,-34.47016366746043
109522,42.0,1190.0,-26.723782600805112
109550,70.0,1190.0,-24.909797633765585
112070,14.0,1218.0,-29.615926620902535
112098,42.0,1218.0,-24.949430541857332
112126,70.0,1218.0,-22.789880786971604
114646,14.0,1246.0,-27.21827322681707
