,x,y,z
930,10.0,10.0,-39.443578511116854
950,30.0,10.0,-38.135557344675206
970,50.0,10.0,-37.135598609076354
990,70.0,10.0,-40.6434910090086
2770,10.0,30.0,-34.454438264895074
2790,30.0,30.0,-34.658015767616774
2810,50.0,30.0,-36.3897684526402
2830,70.0,30.0,-40.39874755731004
4610,10.0,50.0,-33.89426869538861
4630,30.0,50.0,-34.457639647880626
4650,50.0,50.0,-36.11339040843398
4670,70.0,50.0,-39.104375402328934
6450,10.0,70.0,-39.209900675262254
6470,30.0,70.0,-38.0936526773304
6490,50.0,70.0,-36.8766741162126
6510,70.0,70.0,-38.74635090186279
8290,10.0,90.0,-40.528923467437096
8310,30.0,90.0,-39.45334140639476
8330,50.0,90.0,-36.68765986479478
8350,70.0,90.0,-39.20441453231149
10130,10.0,110.0,-36.433970478446874
10150,30.0,110.0,-36.8371358805773
10170,50.0,110.0,-36.40395998493378
10190,70.0,110.0,-40.67846705609778
11970,10.0,130.0,-35.099150941889654
11990,30.0,130.0,-34.687999818682144
12010,50.0,130.0,-35.94112855251805
12030,70.0,130.0,-40.85148193724277
13810,10.0,150.0,-34.35511694273269
13830,30.0,150.0,-33.829162931891375
13850,50.0,150.0,-35.61249809119543
13870,70.0,150.0,-40.173566362449506
15650,10.0,170.0,-36.092164637382474
15670,30.0,170.0,-35.47841931570597
15690,50.0,170.0,-35.358110635178484
15710,70.0,170.0,-40.27651594964822
17490,10.0,190.0,-38.09434390560669
17510,30.0,190.0,-36.93129118117181
17530,50.0,190.0,-35.408200962467575
17550,70.0,190.0,-38.52591068176774
19330,10.0,210.0,-37.0778198711661
19350,30.0,210.0,-35.89763481577916
19370,50.0,210.0,-33.63858711749309
19390,70.0,210.0,-37.183611767621436
21170,10.0,230.0,-32.86973454976424
21190,30.0,230.0,-32.44712095605024
21210,50.0,230.0,-32.55591587975104
21230,70.0,230.0,-35.59956336381543
23010,10.0,250.0,-30.22815149919435
23030,30.0,250.0,-31.67855177630793
23050,50.0,250.0,-34.13566335370508
23070,70.0,250.0,-33.38753101591013
24850,10.0,270.0,-33.27477994921076
24870,30.0,270.0,-32.031880910318336
24890,50.0,270.0,-32.78195132400096
24910,70.0,270.0,-33.05928919303701
26690,10.0,290.0,-34.89638269705526
26710,30.0,290.0,-32.29062885130356
26730,50.0,290.0,-34.0612294402272
26750,70.0,290.0,-34.795992597427684
28530,10.0,310.0,-33.05541771770381
28550,30.0,310.0,-32.94668724122556
28570,50.0,310.0,-36.64479332531402
28590,70.0,310.0,-35.60924767091939
30370,10.0,330.0,-31.951835652310937
30390,30.0,330.0,-29.748222106019934
30410,50.0,330.0,-34.23507555856096
30430,70.0,330.0,-34.71720059545877
32210,10.0,350.0,-32.48596389936484
32230,30.0,350.0,-28.962234115575892
32250,50.0,350.0,-33.33246361935572
32270,70.0,350.0,-34.20533300271478
34050,10.0,370.0,-33.77676423492749
34070,30.0,370.0,-30.821312766801533
34090,50.0,370.0,-30.786887212200217
34110,70.0,370.0,-32.215671422565656
35890,10.0,390.0,-30.72153140535448
35910,30.0,390.0,-30.739588299846062
35930,50.0,390.0,-31.29666478683799
35950,70.0,390.0,-30.693905395150484
37730,10.0,410.0,-29.07788210736631
37750,30.0,410.0,-32.08465941619853
37770,50.0,410.0,-35.681987460044375
37790,70.0,410.0,-30.77428140410737
39570,10.0,430.0,-31.930038583736298
39590,30.0,430.0,-34.04066102737902
39610,50.0,430.0,-33.76372803948223
39630,70.0,430.0,-29.94884933311799
41410,10.0,450.0,-30.791419988156754
41430,30.0,450.0,-32.4653427213271
41450,50.0,450.0,-29.29464467193218
41470,70.0,450.0,-28.537690228033373
43250,10.0,470.0,-29.34795325058124
