,x,y,z
744,8.0,8.0,-40.10474153883963
760,24.0,8.0,-35.38890064716632
776,40.0,8.0,-33.938626533397105
792,56.0,8.0,-37.22708137904605
808,72.0,8.0,-40.97287281947261
2216,8.0,24.0,-37.13373633608637
2232,24.0,24.0,-35.79801948841091
2248,40.0,24.0,-35.571869835952604
2264,56.0,24.0,-36.966869200670786
2280,72.0,24.0,-39.70079176617018
3688,8.0,40.0,-34.899411066103866
3704,24.0,40.0,-37.51455829337606
3720,40.0,40.0,-39.423077716123814
3736,56.0,40.0,-37.68523960568003
3752,72.0,40.0,-39.73183379693586
5160,8.0,56.0,-35.053314130684306
5176,24.0,56.0,-37.58965267923177
5192,40.0,56.0,-40.04296214248477
5208,56.0,56.0,-36.92528709899555
5224,72.0,56.0,-38.957175780120664
6632,8.0,72.0,-36.95143701046539
6648,24.0,72.0,-36.280894463280994
6664,40.0,72.0,-37.80668703452378
6680,56.0,72.0,-35.58640585912386
6696,72.0,72.0,-38.06359834427966
8104,8.0,88.0,-37.710424198330706
8120,24.0,88.0,-37.14749685018082
8136,40.0,88.0,-36.98458137537684
8152,56.0,88.0,-36.08546511105592
8168,72.0,88.0,-40.36634086767147
9576,8.0,104.0,-37.10756598871426
9592,24.0,104.0,-38.63737919743071
9608,40.0,104.0,-35.38640914003781
9624,56.0,104.0,-35.60017058023992
9640,72.0,104.0,-41.123392964398114
11048,8.0,120.0,-36.96940473404451
11064,24.0,120.0,-39.343354198849894
11080,40.0,120.0,-35.3741834031372
11096,56.0,120.0,-36.797895471039155
11112,72.0,120.0,-41.65981401161307
12520,8.0,136.0,-36.74178133980833
12536,24.0,136.0,-39.43011421859907
12552,40.0,136.0,-36.072044461124385
12568,56.0,136.0,-38.11248283571174
12584,72.0,136.0,-40.910447719246434
13992,8.0,152.0,-35.6536035417158
14008,24.0,152.0,-37.619152847705266
14024,40.0,152.0,-35.146804148819996
14040,56.0,152.0,-35.6458397571973
14056,72.0,152.0,-38.58684432319414
15464,8.0,168.0,-36.10160571770104
15480,24.0,168.0,-35.82381224088814
15496,40.0,168.0,-33.624917227151606
15512,56.0,168.0,-35.42780469793259
15528,72.0,168.0,-39.71672354652373
16936,8.0,184.0,-37.80505592259224
16952,24.0,184.0,-35.826426208941555
16968,40.0,184.0,-32.30775038095908
16984,56.0,184.0,-35.783835935403076
17000,72.0,184.0,-39.92808796799853
18408,8.0,200.0,-38.18503504142351
18424,24.0,200.0,-35.31753846662951
18440,40.0,200.0,-32.02977994693677
18456,56.0,200.0,-33.764242084672276
18472,72.0,200.0,-38.24925463346092
19880,8.0,216.0,-36.041780294981365
19896,24.0,216.0,-34.453428516699994
19912,40.0,216.0,-32.61670706303875
19928,56.0,216.0,-32.723307401302314
19944,72.0,216.0,-36.92974246827895
21352,8.0,232.0,-32.39657130647035
21368,24.0,232.0,-33.26325949707878
21384,40.0,232.0,-32.95241358719043
21400,56.0,232.0,-34.92953750362674
21416,72.0,232.0,-35.83679584514233
22824,8.0,248.0,-31.352805530722836
22840,24.0,248.0,-32.788136949026374
22856,40.0,248.0,-32.616153929511924
22872,56.0,248.0,-34.93430562275214
22888,72.0,248.0,-33.43186566303716
24296,8.0,264.0,-34.79825562100583
24312,24.0,264.0,-34.85032636241081
24328,40.0,264.0,-32.97877565236888
24344,56.0,264.0,-33.729096487370306
24360,72.0,264.0,-33.64687411640648
25768,8.0,280.0,-37.25300517951428
25784,24.0,280.0,-34.64432962249823
25800,40.0,280.0,-34.23448511467505
25816,56.0,280.0,-35.40993732857475
25832,72.0,280.0,-34.665152424628545
27240,8.0,296.0,-33.876698016799224
27256,24.0,296.0,-30.84051506154387
27272,40.0,296.0,-31.811740570737836
27288,56.0,296.0,-34.96443627405958
27304,72.0,296.0,-34.10409635191459
28712,8.0,312.0,-30.69289969342655
28728,24.0,312.0,-29.57382926070735
28744,40.0,312.0,-29.593257371302318
28760,56.0,312.0,-35.0057908073191
28776,72.0,312.0,-34.963035275484124
30184,8.0,328.0,-32.33582349534905
30200,24.0,328.0,-30.667497894346788
30216,40.0,328.0,-31.068589133306595
30232,56.0,328.0,-37.89343489195149
30248,72.0,328.0,-36.5508180010478
31656,8.0,344.0,-35.17528754919249
31672,24.0,344.0,-31.950600223870303
31688,40.0,344.0,-31.33681870097515
31704,56.0,344.0,-37.253675227134856
31720,72.0,344.0,-35.79877255211385
33128,8.0,360.0,-34.883251593417384
33144,24.0,360.0,-34.377828336366655
33160,40.0,360.0,-33.56151598387366
33176,56.0,360.0,-34.80032134564373
33192,72.0,360.0,-32.79262313843203
34600,8.0,376.0,-32.53895332891738
34616,24.0,376.0,-33.439504521132726
34632,40.0,376.0,-37.34150886417234
34648,56.0,376.0,-35.82064406700196
34664,72.0,376.0,-30.79353016933476
36072,8.0,392.0,-30.0317518337741
36088,24.0,392.0,-29.71855241136615
36104,40.0,392.0,-35.38437485116836
36120,56.0,392.0,-34.071062994150154
36136,72.0,392.0,-27.75257107183229
37544,8.0,408.0,-31.55133466477475
37560,24.0,408.0,-30.345251004551763
37576,40.0,408.0,-31.997924627758394
37592,56.0,408.0,-31.187120597290104
37608,72.0,408.0,-26.60491321969674
39016,8.0,424.0,-33.33420729159361
39032,24.0,424.0,-31.888916733006287
39048,40.0,424.0,-33.024330727268435
39064,56.0,424.0,-32.56082249508922
39080,72.0,424.0,-29.512046625868958
40488,8.0,440.0,-29.752228997343984
40504,24.0,440.0,-30.329896184661994
40520,40.0,440.0,-32.83977559289481
40536,56.0,440.0,-32.01100227236967
40552,72.0,440.0,-31.674586917272688
41960,8.0,456.0,-27.18582281818419
41976,24.0,456.0,-27.82768781790604
41992,40.0,456.0,-29.548199884633753
42008,56.0,456.0,-28.874461647289866
42024,72.0,456.0,-31.157616823983528
43432,8.0,472.0,-29.747430936362015
43448,24.0,472.0,-28.066549912115626
43464,40.0,472.0,-29.22980712731491
43480,56.0,472.0,-28.750588602418848
43496,72.0,472.0,-30.137598854223118
44904,8.0,488.0,-31.924335065521987
44920,24.0,488.0,-30.16523195463597
44936,40.0,488.0,-32.53023999117253
44952,56.0,488.0,-31.816507090527978
44968,72.0,488.0,-29.98547300475074
46376,8.0,504.0,-30.121047937744653
46392,24.0,504.0,-29.636370360038125
46408,40.0,504.0,-32.97414166923338
46424,56.0,504.0,-32.591562592812224
46440,72.0,504.0,-31.906335714333284
47848,8.0,520.0,-29.3507267161471
47864,24.0,520.0,-27.811725351130093
47880,40.0,520.0,-28.943750860069898
47896,56.0,520.0,-28.503641427045732
47912,72.0,520.0,-33.161657525680106
49320,8.0,536.0,-30.139762052808432
49336,24.0,536.0,-31.852632859468102
49352,40.0,536.0,-29.2502463861091
49368,56.0,536.0,-25.964478562099888
49384,72.0,536.0,-30.992866581005085
50792,8.0,552.0,-28.30625563600516
50808,24.0,552.0,-31.993774662927294
50824,40.0,552.0,-30.99303604147024
50840,56.0,552.0,-27.43147896273329
50856,72.0,552.0,-29.097032366090534
52264,8.0,568.0,-28.220699155322166
52280,24.0,568.0,-27.94619527389877
52296,40.0,568.0,-29.065122224244977
52312,56.0,568.0,-30.284668790862693
52328,72.0,568.0,-32.29758435094722
53736,8.0,584.0,-30.502127560869063
53752,24.0,584.0,-32.15914763872879
53768,40.0,584.0,-28.04838309899906
53784,56.0,584.0,-29.012320167035835
53800,72.0,584.0,-32.27556030100819
55208,8.0,600.0,-30.011030249948213
55224,24.0,600.0,-31.78854648857268
55240,40.0,600.0,-28.641047336010004
55256,56.0,600.0,-29.019534063895406
55272,72.0,600.0,-29.226698571417653
56680,8.0,616.0,-28.921957786402043
56696,24.0,616.0,-28.874981863702363
56712,40.0,616.0,-27.35853940622831
56728,56.0,616.0,-31.315950918816238
56744,72.0,616.0,-31.60686971394044
58152,8.0,632.0,-30.744807699058
58168,24.0,632.0,-31.990164115221816
58184,40.0,632.0,-26.881229227294146
58200,56.0,632.0,-29.26539977642042
58216,72.0,632.0,-32.26079389229205
59624,8.0,648.0,-34.01498567117564
59640,24.0,648.0,-32.66386999330645
59656,40.0,648.0,-27.704510047362895
59672,56.0,648.0,-29.765628923626426
59688,72.0,648.0,-30.02566293740167
61096,8.0,664.0,-33.094963405731974
61112,24.0,664.0,-30.95864874200717
61128,40.0,664.0,-29.073738486817298
61144,56.0,664.0,-31.96986352401131
61160,72.0,664.0,-29.163943257590457
62568,8.0,680.0,-31.31007812235428
62584,24.0,680.0,-29.175015011907288
62600,40.0,680.0,-30.119968849537912
62616,56.0,680.0,-31.257695226534384
62632,72.0,680.0,-29.796056000810154
64040,8.0,696.0,-30.622025001509247
64056,24.0,696.0,-28.646517961108156
64072,40.0,696.0,-29.97593219693073
64088,56.0,696.0,-30.17623220465717
