,x,y,z
372,4.0,4.0,-35.705202743792434
380,12.0,4.0,-36.09787244025926
388,20.0,4.0,-39.36496034831138
396,28.0,4.0,-32.840262107448204
404,36.0,4.0,-33.57625786393555
412,44.0,4.0,-35.96690716264661
420,52.0,4.0,-36.818577412813156
428,60.0,4.0,-37.6188846437803
436,68.0,4.0,-38.75395182983703
444,76.0,4.0,-40.62383354220608
452,84.0,4.0,-41.84272666067688
1108,4.0,12.0,-36.663454295411995
1116,12.0,12.0,-37.657047391817805
1124,20.0,12.0,-37.22138545306887
1132,28.0,12.0,-32.83065552918727
1140,36.0,12.0,-34.969853974224954
1148,44.0,12.0,-37.53806901652366
1156,52.0,12.0,-37.53889636580836
1164,60.0,12.0,-37.28668717601116
1172,68.0,12.0,-38.379718998053434
1180,76.0,12.0,-41.36220049671504
1188,84.0,12.0,-42.11001480989097
1844,4.0,20.0,-37.90926198825624
1852,12.0,20.0,-40.12980358014736
1860,20.0,20.0,-36.96721942321805
1868,28.0,20.0,-33.88654787995534
1876,36.0,20.0,-35.9802592051627
1884,44.0,20.0,-37.81211062564819
1892,52.0,20.0,-37.92495513501259
1900,60.0,20.0,-37.2902105855531
1908,68.0,20.0,-38.07529392672866
1916,76.0,20.0,-39.267183753773345
1924,84.0,20.0,-39.5108466717745
2580,4.0,28.0,-38.945421654624404
2588,12.0,28.0,-41.32677009598791
2596,20.0,28.0,-34.86493257097001
2604,28.0,28.0,-34.626612863208535
2612,36.0,28.0,-37.98441434532943
2620,44.0,28.0,-37.65018043398279
2628,52.0,28.0,-38.49617102789654
2636,60.0,28.0,-36.357399586806906
2644,68.0,28.0,-37.19362847829564
2652,76.0,28.0,-38.811099628087916
2660,84.0,28.0,-40.61144442242148
3316,4.0,36.0,-38.88712510652559
3324,12.0,36.0,-40.538483564501334
3332,20.0,36.0,-33.06164211284707
3340,28.0,36.0,-34.93284498711867
3348,36.0,36.0,-37.84298254542653
3356,44.0,36.0,-36.284421680334724
3364,52.0,36.0,-38.35260400503682
3372,60.0,36.0,-37.734912428513205
3380,68.0,36.0,-38.62152789554979
3388,76.0,36.0,-39.29338896532051
3396,84.0,36.0,-41.582816208628486
4052,4.0,44.0,-36.731921329037085
4060,12.0,44.0,-37.104080499829124
4068,20.0,44.0,-32.16676895023592
4076,28.0,44.0,-36.49729173343836
4084,36.0,44.0,-37.34773034847739
4092,44.0,44.0,-37.01680245585331
4100,52.0,44.0,-38.92235173767934
