,x,y,z
744,8,8,-36.72699583410754
760,24,8,-34.95826391902344
776,40,8,-34.242605812680345
792,56,8,-36.02526032691885
808,72,8,-38.69474951693546
2216,8,24,-36.97332567322121
2232,24,24,-37.472991124102265
2248,40,24,-37.73570959779853
2264,56,24,-38.43555558067963
2280,72,24,-39.99079721045383
3688,8,40,-35.47928273906488
3704,24,40,-36.263543231272266
3720,40,40,-36.62873536001477
3736,56,40,-41.26367340356461
3752,72,40,-40.30350845549626
5160,8,56,-34.70408186220167
5176,24,56,-37.838951212003906
5192,40,56,-37.07794607588868
5208,56,56,-39.07564298962709
5224,72,56,-40.21067264622179
6632,8,72,-34.140987019245266
6648,24,72,-36.843959925771685
6664,40,72,-38.84471667424552
6680,56,72,-39.86292737049025
6696,72,72,-40.04630241945639
8104,8,88,-33.58000029204494
8120,24,88,-36.09211334181683
8136,40,88,-37.691647351574225
8152,56,88,-38.00139228720147
8168,72,88,-40.725313083219625
9576,8,104,-35.21768139221669
9592,24,104,-37.889605709980614
9608,40,104,-35.64009575152809
9624,56,104,-38.35408503816124
9640,72,104,-39.79705656263391
11048,8,120,-35.727875130732535
11064,24,120,-38.34865602460313
11080,40,120,-36.13779821465364
11096,56,120,-37.738329833378195
11112,72,120,-41.36911683597635
12520,8,136,-38.05124935293417
12536,24,136,-36.44039694237767
12552,40,136,-35.23130597652369
12568,56,136,-35.97326167340643
12584,72,136,-38.895618581800655
13992,8,152,-35.87788789857557
14008,24,152,-36.650475238106026
14024,40,152,-33.877836560542235
14040,56,152,-36.47807366413352
14056,72,152,-38.781038724559636
15464,8,168,-36.37636184573438
15480,24,168,-38.47827323392739
15496,40,168,-34.673547405892606
15512,56,168,-36.696523443103345
15528,72,168,-37.83061583096361
16936,8,184,-35.454932259493276
16952,24,184,-34.901172549270655
16968,40,184,-34.76768840090538
16984,56,184,-36.6384824897052
17000,72,184,-38.17561709504422
18408,8,200,-33.95856809872294
18424,24,200,-36.508840463171296
18440,40,200,-34.961473659935955
18456,56,200,-34.961588975262444
18472,72,200,-35.05401729447435
