,x,y,z
930,10,10,
950,30,10,
970,50,10,
990,70,10,-37.25572732763978
2770,10,30,
2790,30,30,
2810,50,30,-38.48130685191782
2830,70,30,-39.83207323995396
4610,10,50,
4630,30,50,-35.12237804059885
4650,50,50,-38.713779206576966
4670,70,50,-40.679590072877005
6450,10,70,
6470,30,70,-37.668955780641966
6490,50,70,-38.11523977489459
6510,70,70,-37.80809440452323
8290,10,90,-34.61653510010651
8310,30,90,-39.60422781046745
8330,50,90,-37.07737931213795
8350,70,90,-39.179649651985095
10130,10,110,-34.31895239735351
10150,30,110,-40.15910274741825
10170,50,110,-36.769985296112765
10190,70,110,-39.777969552497545
11970,10,130,-34.658356426448776
11990,30,130,-34.570918381111426
12010,50,130,-35.89036518265901
12030,70,130,-40.66575468753234
13810,10,150,-34.99776045554404
13830,30,150,-33.94455274243137
13850,50,150,-35.0957254762203
13870,70,150,-39.916614640696636
15650,10,170,-35.3371644846393
15670,30,170,-34.12483299284046
15690,50,170,-35.217254273209605
15710,70,170,-40.91498960647693
17490,10,190,-35.73522282299933
17510,30,190,-37.21719948413626
17530,50,190,-36.766729344827226
17550,70,190,-39.911372184124275
19330,10,210,-34.956053698503425
19350,30,210,-33.789079128443035
19370,50,210,-33.260628802627544
19390,70,210,-35.23370320832231
21170,10,230,-34.15373529921591
21190,30,230,-33.55446389695663
21210,50,230,-33.45174964006544
21230,70,230,-38.33547529629392
23010,10,250,-36.30374106023937
23030,30,250,-34.6474387174562
23050,50,250,-34.97777437741918
23070,70,250,-33.68660840740782
24850,10,270,-31.0001059781024
24870,30,270,-32.79110705063201
24890,50,270,-33.36737498766427
24910,70,270,-34.42335458641129
26690,10,290,-36.951450928097756
26710,30,290,-33.53839704900814
26730,50,290,-32.485187912512075
26750,70,290,-37.43696789913701
28530,10,310,-35.08252088542299
28550,30,310,-37.36096271615615
28570,50,310,-35.99542191925091
28590,70,310,-36.824994739883444
30370,10,330,-34.448430539694826
30390,30,330,-34.57898226334861
30410,50,330,-37.64545459952189
30430,70,330,-35.21688836987352
32210,10,350,-31.33163716713456
32230,30,350,-29.54256534714088
32250,50,350,-32.82736640600341
32270,70,350,-33.886661191095925
34050,10,370,-29.40150734943309
34070,30,370,-34.201304406516684
34090,50,370,-38.240425221942964
34110,70,370,-33.41653391888194
35890,10,390,-30.789342205666692
35910,30,390,-32.278418868190855
35930,50,390,-30.32825722865077
35950,70,390,-29.128182207633913
37730,10,410,-31.501024211433084
37750,30,410,-29.946361983421443
37770,50,410,-33.74392155953822
37790,70,410,-31.168693027214417
39570,10,430,-31.92407707261447
