,x,y,z
558,6.0,6.0,-41.371130289729024
570,18.0,6.0,-41.125173850499976
582,30.0,6.0,-31.69130200524734
594,42.0,6.0,-33.66923795095767
606,54.0,6.0,-35.729588593191906
618,66.0,6.0,-37.67697704588719
630,78.0,6.0,-41.83062633178479
1662,6.0,18.0,-39.56532986435904
1674,18.0,18.0,-37.444447267262454
1686,30.0,18.0,-34.95055346794405
1698,42.0,18.0,-35.982920265368314
1710,54.0,18.0,-37.23563437462586
1722,66.0,18.0,-38.235995302194425
1734,78.0,18.0,-41.576077521271706
2766,6.0,30.0,-38.26950488520256
2778,18.0,30.0,-36.115535100462644
2790,30.0,30.0,-35.88434914995856
2802,42.0,30.0,-36.790857741748624
2814,54.0,30.0,-39.39394546818247
2826,66.0,30.0,-37.822902271436575
2838,78.0,30.0,-41.606297749809954
3870,6.0,42.0,-36.67403008206125
3882,18.0,42.0,-35.077959676423724
3894,30.0,42.0,-35.722307516385776
3906,42.0,42.0,-36.86809499794441
3918,54.0,42.0,-38.79161827169098
3930,66.0,42.0,-38.61908832254984
3942,78.0,42.0,-41.012480296393214
4974,6.0,54.0,-37.329083062170945
4986,18.0,54.0,-35.55803768039377
4998,30.0,54.0,-37.52583918659278
5010,42.0,54.0,-39.70187744646823
5022,54.0,54.0,-39.01945749874681
5034,66.0,54.0,-40.7996995859848
5046,78.0,54.0,-42.72080613055047
6078,6.0,66.0,-41.17676835217509
6090,18.0,66.0,-38.40620845384582
6102,30.0,66.0,-38.91659205219169
6114,42.0,66.0,-40.20640586212642
6126,54.0,66.0,-38.259751418245706
6138,66.0,66.0,-40.71116723440988
6150,78.0,66.0,-40.95444990236767
7182,6.0,78.0,-42.08074759593379
7194,18.0,78.0,-39.05339302999033
7206,30.0,78.0,-37.483019250124705
7218,42.0,78.0,-38.83408362596576
7230,54.0,78.0,-36.763811792169776
7242,66.0,78.0,-38.73771888035227
7254,78.0,78.0,-40.22363196142888
8286,6.0,90.0,-40.5082183504316
8298,18.0,90.0,-39.14255413476609
8310,30.0,90.0,-38.00951251467056
8322,42.0,90.0,-37.64308759329329
8334,54.0,90.0,-34.62071762194436
8346,66.0,90.0,-37.96225564076088
8358,78.0,90.0,-42.247405232126276
9390,6.0,102.0,-39.22475804236482
9402,18.0,102.0,-38.929257080234436
9414,30.0,102.0,-38.650403258832426
9426,42.0,102.0,-36.41766669578066
9438,54.0,102.0,-34.082262523889376
9450,66.0,102.0,-40.40157055606712
9462,78.0,102.0,-44.178923005376625
10494,6.0,114.0,-38.08191034115815
10506,18.0,114.0,-38.60467047718975
10518,30.0,114.0,-38.570500081692735
10530,42.0,114.0,-36.122019720504014
10542,54.0,114.0,-36.516754083625486
10554,66.0,114.0,-40.05348796586418
10566,78.0,114.0,-41.805094783638424
11598,6.0,126.0,-40.47243845882782
