,x,y,z
1302,14,14,
1330,42,14,-35.65682879506538
1358,70,14,
3878,14,42,-35.8344328946611
3906,42,42,-38.12373681809575
3934,70,42,-39.69549649190095
6454,14,70,-36.850546944931764
6482,42,70,-38.62961430545023
6510,70,70,-38.96267320057193
9030,14,98,-38.37441144781339
9058,42,98,-39.16161398859322
9086,70,98,-38.109827439835556
11606,14,126,-36.52086226420298
11634,42,126,-38.33466289971521
11662,70,126,-40.59963274583046
14182,14,154,-36.82049580185038
14210,42,154,-35.14738299073415
14238,70,154,-40.07178738592311
16758,14,182,-37.03746848632178
16786,42,182,-34.75733064689527
16814,70,182,-38.97552351664115
19334,14,210,-38.32133774481944
19362,42,210,-33.6171936071875
19390,70,210,-37.24721120604654
21910,14,238,-38.42590398312929
21938,42,238,-32.385710206858576
21966,70,238,-35.01403799671184
24486,14,266,-34.04945418506235
24514,42,266,-31.956677106199134
24542,70,266,-35.46038747914899
27062,14,294,-32.13876000314197
27090,42,294,-32.73819243700868
27118,70,294,-36.00705888036686
29638,14,322,-30.7544755311156
29666,42,322,-34.09036237013906
29694,70,322,-33.972342622630464
32214,14,350,-33.26910776376647
32242,42,350,-37.24853765419547
32270,70,350,-32.25511717002439
34790,14,378,-34.02017940025231
34818,42,378,-35.03752981461398
34846,70,378,-37.393110066090074
37366,14,406,-32.52401487725527
37394,42,406,-32.827963492796016
37422,70,406,-30.149884785736447
39942,14,434,-31.027850354258216
39970,42,434,-30.230945612185913
39998,70,434,-29.57556962217499
42518,14,462,-28.459874538442747
42546,42,462,-26.466667437025475
42574,70,462,-27.077250464993817
45094,14,490,-27.59547635521804
45122,42,490,-30.46992727605755
45150,70,490,-33.63235191635199
47670,14,518,-27.827829522055428
47698,42,518,-30.100860252869225
47726,70,518,-31.617978414912685
50246,14,546,-29.339461247893478
50274,42,546,-28.30338955810506
50302,70,546,-30.990393321950517
52822,14,574,-28.854285993451352
52850,42,574,-24.672568067050776
52878,70,574,-33.81541454868296
55398,14,602,-30.45505665490431
55426,42,602,-24.726870273959303
55454,70,602,-29.56579217402409
57974,14,630,-28.631535004985015
58002,42,630,-25.51685993353463
58030,70,630,-30.03091285108108
60550,14,658,-29.297388872496164
60578,42,658,-27.879166599813082
60606,70,658,-33.13453380092558
63126,14,686,-29.963242740007317
63154,42,686,-31.22952575043996
63182,70,686,-28.347514649353606
65702,14,714,-34.05823004887648
65730,42,714,-28.478106066545184
65758,70,714,-28.507953375159133
68278,14,742,-31.691748001236228
68306,42,742,-27.710317627513195
68334,70,742,-30.109483535183845
70854,14,770,-27.63829780130175
70882,42,770,-31.37612038288936
70910,70,770,-28.89256604693245
73430,14,798,-30.576490599692743
73458,42,798,-30.725484873723126
73486,70,798,-30.011864427702932
76006,14,826,-30.30038951711788
76034,42,826,-31.29188530289108
76062,70,826,-32.80735036940935
78582,14,854,-31.149459571115287
78610,42,854,-29.85032286600388
78638,70,854,-31.889949659754564
81158,14,882,-30.62168599366112
81186,42,882,-29.68633631094363
81214,70,882,-31.444794036114832
83734,14,910,-29.72877898301808
83762,42,910,-29.138519359702922
83790,70,910,-32.02484219394594
86310,14,938,-30.12574806081706
86338,42,938,-26.750772538386478
86366,70,938,-30.24874177183115
88886,14,966,-28.603826242730705
88914,42,966,-25.608595307826384
88942,70,966,-27.149068809757082
91462,14,994,-29.873349659113103
91490,42,994,-31.749742529953558
91518,70,994,-26.23690482534157
94038,14,1022,-25.82360486226153
94066,42,1022,-27.3177606427512
94094,70,1022,-25.74486173542307
96614,14,1050,-25.418107677114424
96642,42,1050,-26.649974498755036
96670,70,1050,-27.065508407907828
99190,14,1078,-25.917553613091897
99218,42,1078,-25.626462843438922
99246,70,1078,-27.155796821007606
101766,14,1106,-30.393717836399844
101794,42,1106,-33.16469310555689
101822,70,1106,-26.82879553769262
104342,14,1134,-31.723502474880924
104370,42,1134,-32.90053677776891
104398,70,1134,-27.50580390214521
106918,14,1162,-36.05289666858995
106946,42,1162,-30.069307355245453
106974,70,1162,-26.756160770315567
109494,14,1190,-34.640162891833434
109522,42,1190,-25.981403124368406
109550,70,1190,-24.754245167706724
112070,14,1218,-30.60310724637376
112098,42,1218,-25.09885045896577
112126,70,1218,-23.26206470586076
114646,14,1246,-26.41945129771506
114674,42,1246,-26.21732390200782
114702,70,1246,-22.301790832815215
117222,14,1274,-26.68301012933178
117250,42,1274,-23.94447205403738
117278,70,1274,-24.659819250916662
119798,14,1302,-24.036337652741068
119826,42,1302,-25.451036432557405
119854,70,1302,-23.955217489563974
122374,14,1330,-22.26538116842159
122402,42,1330,-25.185986631495712
122430,70,1330,-23.039488121956378
124950,14,1358,-23.033969888953614
124978,42,1358,-25.368448387303353
125006,70,1358,-24.307267164070005
127526,14,1386,-23.92405586317997
127554,42,1386,-27.722073688024693
127582,70,1386,-24.316797865700664
130102,14,1414,-27.865747128857492
130130,42,1414,-23.81334929044983
130158,70,1414,-28.16343850777651
132678,14,1442,-28.66679199621355
132706,42,1442,-27.577621333388937
132734,70,1442,-29.391987249902638
135254,14,1470,-28.391585958846555
135282,42,1470,-27.438626594386726
135310,70,1470,-30.620535992028763
137830,14,1498,-27.2551001693475
137858,42,1498,-27.13218960880146
137886,70,1498,-28.03248327962177
140406,14,1526,-26.068699461839135
140434,42,1526,-28.47999033674791
140462,70,1526,-27.072803808182936
142982,14,1554,-27.54304092791754
143010,42,1554,-32.463755418555735
143038,70,1554,-27.66425407556076
145558,14,1582,-27.24717331519976
145586,42,1582,-28.92988581838364
145614,70,1582,-29.79159907179183
148134,14,1610,-29.805763516288494
148162,42,1610,-31.290664552525104
148190,70,1610,-32.94347397330803
150710,14,1638,-31.578800773914125
150738,42,1638,-34.26071493722966
150766,70,1638,-32.31278255023374
153286,14,1666,-36.61706870190373
153314,42,1666,-26.895355138853034
153342,70,1666,-29.652623989243885
155862,14,1694,-29.410526039746774
155890,42,1694,-27.44487386081846
155918,70,1694,-31.64973205309323
158438,14,1722,-31.829567883244053
158466,42,1722,-34.2122846043725
158494,70,1722,-36.075182446758994
161014,14,1750,-32.4797321037863
161042,42,1750,-31.21388725090604
161070,70,1750,-37.9891732668454
163590,14,1778,-33.5602005734318
163618,42,1778,-32.156415715473436
163646,70,1778,-36.99359711220028
166166,14,1806,-35.606842175299946
166194,42,1806,-31.663613781371836
166222,70,1806,-32.945045657033326
168742,14,1834,-35.09070980453836
168770,42,1834,-35.13975812135736
168798,70,1834,-30.678164139777017
171318,14,1862,-34.57457743377678
171346,42,1862,-32.352639431170715
171374,70,1862,-29.60321466609923
173894,14,1890,-32.160457787854355
173922,42,1890,-32.669942134522366
173950,70,1890,-30.194651094612112
176470,14,1918,-30.685504858798723
176498,42,1918,-31.735546111991574
176526,70,1918,-30.81967998573669
179046,14,1946,-31.371771744637122
179074,42,1946,-32.08640446058462
179102,70,1946,-31.68899290760728
181622,14,1974,-32.51836038672889
181650,42,1974,-35.533676285589124
181678,70,1974,-33.13319425127574
184198,14,2002,-31.570080410780303
184226,42,2002,-39.45955980895961
184254,70,2002,-32.016560275624194
