,x,y,z
186,2,2,-41.32824880143126
190,6,2,-39.02701633559806
194,10,2,-37.03462396901566
198,14,2,-37.12946851727793
202,18,2,-40.42902454439376
206,22,2,-39.94609254460169
210,26,2,-35.35331094233096
214,30,2,-32.97438747620976
218,34,2,-32.61712432872075
222,38,2,-34.402939429496776
226,42,2,-36.10618383209393
230,46,2,-37.647429405740795
234,50,2,-34.98744756614625
238,54,2,-35.99696683073442
242,58,2,-37.48542610666431
246,62,2,-38.6058557694474
250,66,2,-38.346338466911135
254,70,2,-37.27773923865247
258,74,2,-39.29736157479836
262,78,2,-39.273421877430835
266,82,2,-38.96131528220883
270,86,2,-36.67047249839318
554,2,6,-40.25850381330679
558,6,6,-37.834485152038944
562,10,6,-36.73985647073967
566,14,6,-37.74602810434727
570,18,6,-39.331312699688084
574,22,6,-37.39490475147621
578,26,6,-33.77691295770423
582,30,6,-33.29513137563238
586,34,6,-33.21188255618661
590,38,6,-35.23627246361012
594,42,6,-37.407204857440476
598,46,6,-37.41278945553705
602,50,6,-34.143862320579636
606,54,6,-36.22829475849049
610,58,6,-37.0389795120117
614,62,6,-38.50210647396652
618,66,6,-37.70699979210859
622,70,6,-38.48161418702959
626,74,6,-39.87273466247867
630,78,6,-41.53633960633623
634,82,6,-42.741281875752065
638,86,6,-37.41232951362227
922,2,10,-39.18875882518231
926,6,10,-36.80144891152139
930,10,10,-37.88081844581823
934,14,10,-38.70092508427676
938,18,10,-38.86366790425092
942,22,10,-36.64749329699892
946,26,10,-33.956570888283
950,30,10,-33.094899824113874
954,34,10,-33.657164435060814
958,38,10,-35.27713713537357
962,42,10,-37.22246413845791
966,46,10,-37.12471143724412
970,50,10,-35.31012330686478
974,54,10,-37.074334154976086
978,58,10,-38.618713610721464
982,62,10,-38.11736948559426
986,66,10,-37.42178703966488
990,70,10,-39.415766710942826
994,74,10,-41.109541459126106
998,78,10,-43.073775253515166
1002,82,10,-42.02944584581741
1006,86,10,-38.30597263000302
1290,2,14,-38.58689194338194
1294,6,14,-36.0946274953758
1298,10,14,-38.260495844865744
1302,14,14,-39.65582206420626
1306,18,14,-37.44746979013064
1310,22,14,-36.62094630217865
1314,26,14,-34.15549065752481
1318,30,14,-32.7241502808408
1322,34,14,-34.67487485609715
1326,38,14,-36.5982250136715
1330,42,14,-36.49760355884595
1334,46,14,-36.46296558261434
1338,50,14,-36.95543021823271
1342,54,14,-38.01530863126508
1346,58,14,-39.35585801015839
1350,62,14,-37.977498318370706
1354,66,14,-36.70953206740758
1358,70,14,-38.227483148721355
1362,74,14,-41.44248473995191
1366,78,14,-42.14834202142835
1370,82,14,-41.43641704447195
1374,86,14,-38.76031623530102
1658,2,18,-38.34001390058134
1662,6,18,-35.898188188662445
1666,10,18,-38.82960458429697
1670,14,18,-39.65152451107391
1674,18,18,-36.464133043280285
1678,22,18,-36.46753791690025
1682,26,18,-34.10678576091597
1686,30,18,-31.746033604931693
1690,34,18,-34.43926893721813
1694,38,18,-37.363038730103355
1698,42,18,-36.34855125852696
1702,46,18,-35.77793917751922
1706,50,18,-37.059586936954915
1710,54,18,-38.531186198121446
1714,58,18,-39.12292564953881
1718,62,18,-38.00777276465393
1722,66,18,-36.29730748330796
1726,70,18,-37.9997873310756
1730,74,18,-41.153409256982684
1734,78,18,-41.132705908838176
1738,82,18,-41.00635160861711
1742,86,18,-39.037398272307826
2026,2,22,-37.06812353841716
2030,6,22,-37.93989057647301
2034,10,22,-40.010554223848466
2038,14,22,-41.18337642699499
2042,18,22,-35.690018850377314
2046,22,22,-35.09750174067763
2050,26,22,-34.406101106604744
2054,30,22,-32.94062278320199
2058,34,22,-35.86531846411823
2062,38,22,-38.00233096803657
2066,42,22,-35.97687359010151
2070,46,22,-35.80099629961833
2074,50,22,-37.230168617157574
2078,54,22,-38.48225517964093
2082,58,22,-38.878893531658015
2086,62,22,-37.689318845951036
2090,66,22,-36.24933204207509
2094,70,22,-38.03898131351374
2098,74,22,-39.55976712733312
2102,78,22,-41.94497885710085
2106,82,22,-40.47697963471539
2110,86,22,-39.60260910886461
2394,2,26,-36.628542484878665
2398,6,26,-37.71848874728413
2402,10,26,-39.984841532166115
2406,14,26,-41.48410398206583
2410,18,26,-35.00282006990144
2414,22,26,-33.72746556445502
2418,26,26,-34.037675843528966
2422,30,26,-34.46942303265716
2426,34,26,-35.667677758964004
2430,38,26,-38.04980677791875
2434,42,26,-36.346640701157995
2438,46,26,-35.59348932954169
2442,50,26,-37.95171050452221
2446,54,26,-38.86754960010732
2450,58,26,-38.917486947553165
2454,62,26,-36.967965295341614
2458,66,26,-36.98357376305965
2462,70,26,-38.19251359676066
2466,74,26,-41.42890346042254
2470,78,26,-41.88794390896378
2474,82,26,-39.887539473196476
2478,86,26,-38.840361536817255
2762,2,30,-35.723810684001116
2766,6,30,-38.55866752506134
2770,10,30,-40.25688850922684
2774,14,30,-39.747838511126034
2778,18,30,-34.974671683362615
2782,22,30,-33.20124497177136
2786,26,30,-33.601380954139806
2790,30,30,-34.085772110084264
2794,34,30,-35.38123719227272
2798,38,30,-37.54730665258277
2802,42,30,-36.55535369164725
2806,46,30,-36.27461384653695
2810,50,30,-38.72567993261013
2814,54,30,-40.46970968682177
2818,58,30,-37.820020818915744
2822,62,30,-36.19091296142301
2826,66,30,-37.36152237479278
2830,70,30,-38.461790160284
2834,74,30,-40.6762710951432
2838,78,30,-41.55129854735291
2842,82,30,-41.03684405530096
2846,86,30,-40.19789061059464
3130,2,34,-35.37929491368654
3134,6,34,-38.414479910398505
3138,10,34,-41.16543454192311
3142,14,34,-37.63059622372133
3146,18,34,-34.09575790551955
3150,22,34,-32.661320082732665
3154,26,34,-33.84318329909626
3158,30,34,-34.88260826379234
3162,34,34,-36.353494000640026
3166,38,34,-36.91915913872967
3170,42,34,-36.22963105113182
3174,46,34,-36.77107588374547
3178,50,34,-39.815404754990446
3182,54,34,-40.10408303128455
3186,58,34,-38.366583723844926
3190,62,34,-35.50755561214424
3194,66,34,-37.80184824797901
3198,70,34,-38.186839987539216
3202,74,34,-39.60925330808419
3206,78,34,-42.03588175958694
3210,82,34,-42.982810693782405
3214,86,34,-42.446841671298515
3498,2,38,-34.96612024923842
3502,6,38,-38.00084983054428
3506,10,38,-41.53327976085626
3510,14,38,-38.95560365319811
3514,18,38,-34.23299482698105
3518,22,38,-32.68876998667681
3522,26,38,-34.2328179490147
3526,30,38,-35.679460606724355
3530,34,38,-36.8039544072869
3534,38,38,-36.528627312734045
3538,42,38,-36.14216970421207
3542,46,38,-38.15026154205691
3546,50,38,-40.53176582492857
3550,54,38,-41.09700984832181
3554,58,38,-38.4305476453697
3558,62,38,-35.35319706172734
3562,66,38,-37.7463761221605
3566,70,38,-37.745533847183566
3570,74,38,-38.341964550046654
3574,78,38,-41.19728104279619
3578,82,38,-42.66132842054186
3582,86,38,-43.58864988804538
3866,2,42,-34.91646087516938
3870,6,42,-38.54138074596579
3874,10,42,-41.83080665496176
3878,14,42,-37.459225698065104
3882,18,42,-33.754443891199855
3886,22,42,-33.432407534992706
3890,26,42,-34.35571173532128
3894,30,42,-37.01329302464079
3898,34,42,-37.916672656141046
3902,38,42,-35.811900039817935
3906,42,42,-35.46389607504312
3910,46,42,-38.40963928630934
3914,50,42,-40.4282883492919
3918,54,42,-41.43749801626786
3922,58,42,-38.23390933463733
3926,62,42,-36.26212201702046
3930,66,42,-37.55528129125889
3934,70,42,-38.40830254332677
3938,74,42,-38.49727542906434
3942,78,42,-41.261349709320996
3946,82,42,-42.39562298258333
3950,86,42,-41.38547709435714
4234,2,46,-35.551005624470875
4238,6,46,-39.523389937227975
4242,10,46,-40.19222507550684
4246,14,46,-37.1391970788351
4250,18,46,-32.20893974279968
4254,22,46,-32.794974979423685
4258,26,46,-34.41610672821672
4262,30,46,-39.75715444606345
4266,34,46,-38.038520440101415
4270,38,46,-35.268079885831824
4274,42,46,-35.9524261431805
4278,46,46,-38.92958946663738
4282,50,46,-40.34120461070819
4286,54,46,-40.74560939788557
4290,58,46,-38.6971935270479
4294,62,46,-36.3893573420938
4298,66,46,-37.87413104103299
4302,70,46,-38.95557929087618
4306,74,46,-39.039734988706634
4310,78,46,-41.55435829447312
4314,82,46,-43.36905782421417
4318,86,46,-41.30691941625012
4602,2,50,-36.48805320700228
4606,6,50,-38.02914265172316
4610,10,50,-38.85124741226636
4614,14,50,-36.89510894696989
4618,18,50,-33.07510296175353
4622,22,50,-33.98668161622195
4626,26,50,-35.6713681096976
4630,30,50,-40.52392721599506
4634,34,50,-38.534068324683076
4638,38,50,-35.73369421496788
4642,42,50,-36.56498693476554
4646,46,50,-40.108566289678144
4650,50,50,-38.908719411889734
4654,54,50,-40.96443664191091
4658,58,50,-39.46994465329989
4662,62,50,-36.669444611778765
4666,66,50,-36.48952737904875
4670,70,50,-38.688906142005756
4674,74,50,-38.97879558895578
4678,78,50,-41.67039288717375
4682,82,50,-44.36199018539172
4686,86,50,-39.8506817744088
4970,2,54,-36.92491818412753
4974,6,54,-38.56441577885506
4978,10,54,-37.50560676912833
4982,14,54,-35.53122905122584
4986,18,54,-32.850688624173046
4990,22,54,-34.419514023046474
4994,26,54,-36.45545439912742
4998,30,54,-40.436742227009276
5002,34,54,-40.20229693252617
5006,38,54,-36.46142023103255
5010,42,54,-37.273279002046166
5014,46,54,-39.361062166574555
5018,50,54,-38.90957768172093
5022,54,54,-40.0504903953748
5026,58,54,-38.94987339524622
5030,62,54,-37.16144550831976
5034,66,54,-35.85489857296382
5038,70,54,-38.79017791897819
5042,74,54,-39.26731862123973
5046,78,54,-41.91731337836966
5050,82,54,-42.268526096782786
5054,86,54,-39.12924087656843
5338,2,58,-38.135128400447094
5342,6,58,-37.894795009828535
5346,10,58,-36.30486436247633
5350,14,58,-33.846262645457664
5354,18,58,-32.72805975866416
5358,22,58,-35.7167334842226
5362,26,58,-37.514818910474986
5366,30,58,-39.028067551343746
5370,34,58,-38.815540538208566
5374,38,58,-37.248363267494874
5378,42,58,-38.966544443182514
5382,46,58,-38.627905343899954
5386,50,58,-38.25893367305268
5390,54,58,-39.93066211020712
5394,58,58,-38.97035746693527
5398,62,58,-36.89834285583903
5402,66,58,-35.434787144424035
5406,70,58,-39.02939854387977
5410,74,58,-41.212443652176866
5414,78,58,-41.40789353535308
5418,82,58,-41.01796336863273
5422,86,58,-38.81862444756341
5706,2,62,-38.54604413151607
5710,6,62,-38.86297864697252
5714,10,62,-35.496576844326896
5718,14,62,-33.780971693356385
5722,18,62,-34.605213896827856
5726,22,62,-36.93869850829064
5730,26,62,-39.27218311975342
5734,30,62,-38.769631519217846
5738,34,62,-38.34502688733597
5742,38,62,-38.38817653385783
5746,42,62,-39.728798657880304
5750,46,62,-39.21192776899674
5754,50,62,-37.295277037399
5758,54,62,-39.24246525095545
5762,58,62,-38.3733396651735
5766,62,62,-36.49031899603047
5770,66,62,-35.52702457683624
5774,70,62,-38.469061387183984
5778,74,62,-42.27176084002569
5782,78,62,-42.70789248659152
5786,82,62,-40.82967523432814
5790,86,62,-39.505917786461914
6074,2,66,-39.474310329792786
6078,6,66,-39.782218219758995
6082,10,66,-34.917415972879
6086,14,66,-33.325370673597526
6090,18,66,-34.74985930928462
6094,22,66,-36.45695248398006
6098,26,66,-40.34563825391955
6102,30,66,-39.71283955999204
6106,34,66,-38.57419357793293
6110,38,66,-39.43417962081436
6114,42,66,-40.64763297440059
6118,46,66,-38.680259203834176
6122,50,66,-36.87676169404685
6126,54,66,-38.12650077374149
6130,58,66,-37.86643318694489
6134,62,66,-36.02797731894108
6138,66,66,-36.11115078258116
6142,70,66,-40.50357769260313
6146,74,66,-43.80450436092286
6150,78,66,-42.405625385912174
6154,82,66,-40.16853565957639
6158,86,66,-39.6089938011432
6442,2,70,-41.074173563029575
6446,6,70,-40.61871415302386
6450,10,70,-34.95208449726811
6454,14,70,-33.19309179612679
6458,18,70,-35.01095543473621
6462,22,70,-37.60867349133855
6466,26,70,-40.37135832295213
6470,30,70,-39.97863916197976
6474,34,70,-38.12394081787741
6478,38,70,-39.95336470405611
6482,42,70,-40.38792094692295
6486,46,70,-38.1104766619111
6490,50,70,-36.785284004561845
6494,54,70,-37.619438476881136
6498,58,70,-37.098617629848945
6502,62,70,-35.418754071224356
6506,66,70,-35.902795555353734
6510,70,70,-38.36427819046418
6514,74,70,-42.154357206745644
6518,78,70,-42.508700193635036
6522,82,70,-38.803850890567915
6526,86,70,-40.10404974093345
6810,2,74,-42.08462208385812
6814,6,74,-40.2562436855268
6818,10,74,-34.543176151176475
6822,14,74,-33.11761575281474
6826,18,74,-35.311050216817925
6830,22,74,-39.542996627295935
6834,26,74,-40.00032962157365
6838,30,74,-38.54349972502024
6842,34,74,-39.379362523723415
6846,38,74,-40.220109211860624
6850,42,74,-39.34743381419439
6854,46,74,-37.45644755815136
6858,50,74,-36.897144097789536
6862,54,74,-36.9973565175849
6866,58,74,-36.28125096302669
6870,62,74,-34.83204959811555
6874,66,74,-36.12224404057222
6878,70,74,-39.065008775630844
6882,74,74,-40.97216316800923
6886,78,74,-42.94603235552849
6890,82,74,-38.90185589994067
6894,86,74,-41.523757960846524
7178,2,78,-40.972826582129635
7182,6,78,-39.91645198225245
7186,10,78,-34.49000942565225
7190,14,78,-33.50853558417728
7194,18,78,-37.00349425785946
7198,22,78,-41.10338078415536
7202,26,78,-40.048065193437694
7206,30,78,-38.276801271494406
7210,34,78,-40.23163825602621
7214,38,78,-40.29510741209957
7218,42,78,-38.69287513568285
7222,46,78,-38.20264774544407
7226,50,78,-35.60266495266303
7230,54,78,-36.43554161381906
7234,58,78,-36.49579237166337
7238,62,78,-34.90463795771386
7242,66,78,-36.62047585881151
7246,70,78,-40.5429062832556
7250,74,78,-39.55670448206847
7254,78,78,-42.072115133640885
7258,82,78,-40.35235393977242
7262,86,78,-41.41321155037203
7546,2,82,-40.313639266218374
7550,6,82,-38.5341347265399
7554,10,82,-34.79233155787567
7558,14,82,-34.73849417691217
7562,18,82,-38.08318682160808
7566,22,82,-43.4064185412229
7570,26,82,-40.08180369610443
7574,30,82,-38.60914000199347
7578,34,82,-41.013523355606225
7582,38,82,-39.59728379006508
7586,42,82,-37.593911997126455
7590,46,82,-37.44244952370201
7594,50,82,-35.65185788394946
7598,54,82,-35.35372850285184
7602,58,82,-36.59387061512439
7606,62,82,-35.15985863686721
7610,66,82,-37.47983842503796
7614,70,82,-40.76943503541464
7618,74,82,-40.36480112252461
7622,78,82,-40.65679351542544
7626,82,82,-41.09737828495363
7630,86,82,-40.372892128067434
7914,2,86,-39.80864151682551
7918,6,86,-38.852974249270915
7922,10,86,-34.298363083322734
7926,14,86,-35.28392204483572
7930,18,86,-38.75133116708997
7934,22,86,-41.88150429053986
7938,26,86,-39.69883778748946
7942,30,86,-38.79764941197092
7946,34,86,-40.77362973415907
7950,38,86,-38.95586467765218
7954,42,86,-37.50899671886289
7958,46,86,-36.49474069770723
7962,50,86,-34.92886919739745
7966,54,86,-33.808716408934046
7970,58,86,-35.757273408837456
7974,62,86,-35.67289965096501
7978,66,86,-39.11186216857947
7982,70,86,-40.91830143326654
7986,74,86,-40.8506591100891
7990,78,86,-41.58425360878219
7994,82,86,-42.88727215793354
7998,86,86,-40.08141912967971
8282,2,90,-38.453749863865816
8286,6,90,-38.59014936382913
8290,10,90,-35.19156198351313
8294,14,90,-35.52378259422643
8298,18,90,-39.0014377873854
8302,22,90,-41.16082810065815
8306,26,90,-39.89992402030384
8310,30,90,-39.12994821511853
8314,34,90,-40.197994060515406
8318,38,90,-38.577541473262826
8322,42,90,-37.19201443057305
8326,46,90,-35.8526774789588
8330,50,90,-34.828234537615195
8334,54,90,-34.72868451273925
8338,58,90,-36.471089975662736
8342,62,90,-36.240587790731134
8346,66,90,-38.40971357268763
8350,70,90,-41.53426046210031
