,x,y,z
558,6.0,6.0,-38.933408116184346
570,18.0,6.0,-35.97273510163946
582,30.0,6.0,-34.83467022155377
594,42.0,6.0,-35.04741873091444
606,54.0,6.0,-36.948275003287925
618,66.0,6.0,-38.39083956231081
630,78.0,6.0,-38.922134360735186
1662,6.0,18.0,-38.735039504654814
1674,18.0,18.0,-37.076785884606664
1686,30.0,18.0,-35.70906238704113
1698,42.0,18.0,-36.87842572794013
1710,54.0,18.0,-37.324533752370485
1722,66.0,18.0,-39.04516277549544
1734,78.0,18.0,-39.75419341576476
2766,6.0,30.0,-38.200813518236004
2778,18.0,30.0,-37.51363294371601
2790,30.0,30.0,-35.454976249309496
2802,42.0,30.0,-38.212037735988275
2814,54.0,30.0,-36.833992650426005
2826,66.0,30.0,-37.765393162528035
2838,78.0,30.0,-40.407743075435505
3870,6.0,42.0,-37.51599339512388
3882,18.0,42.0,-36.22285725194676
3894,30.0,42.0,-34.7276883565038
3906,42.0,42.0,-38.80686645849518
3918,54.0,42.0,-37.868190534928424
3930,66.0,42.0,-37.55731232776503
3942,78.0,42.0,-41.17075535876715
4974,6.0,54.0,-35.75509437230818
4986,18.0,54.0,-34.94879732813931
4998,30.0,54.0,-36.261253298051074
5010,42.0,54.0,-38.66627297428662
5022,54.0,54.0,-38.368648140204684
5034,66.0,54.0,-39.45023682309903
5046,78.0,54.0,-41.64071283167647
6078,6.0,66.0,-35.14860836237004
6090,18.0,66.0,-35.14766006694933
6102,30.0,66.0,-38.682145819112485
6114,42.0,66.0,-37.885948390306446
6126,54.0,66.0,-36.45115342905394
6138,66.0,66.0,-39.39149154890413
6150,78.0,66.0,-40.58137260229115
7182,6.0,78.0,-36.331886995052706
7194,18.0,78.0,-36.54272293817085
7206,30.0,78.0,-41.130386676510554
7218,42.0,78.0,-38.61863153859238
7230,54.0,78.0,-35.481953979083585
7242,66.0,78.0,-38.390972227150215
7254,78.0,78.0,-40.614534017513485
8286,6.0,90.0,-36.0000932476439
8298,18.0,90.0,-37.31478154903442
8310,30.0,90.0,-41.196440706278835
8322,42.0,90.0,-37.95415710758833
8334,54.0,90.0,-35.425479726384054
8346,66.0,90.0,-39.19892814447671
8358,78.0,90.0,-42.350693142280015
9390,6.0,102.0,-35.55510959919201
9402,18.0,102.0,-37.67762527635676
9414,30.0,102.0,-39.226263599970345
9426,42.0,102.0,-35.7603639968035
9438,54.0,102.0,-34.755787404729034
9450,66.0,102.0,-40.161410737799386
9462,78.0,102.0,-42.09952948273656
10494,6.0,114.0,-36.606405058876945
10506,18.0,114.0,-39.10850150758224
10518,30.0,114.0,-38.545772342685915
10530,42.0,114.0,-35.1620798319347
10542,54.0,114.0,-34.68453683963731
10554,66.0,114.0,-39.78419515459943
10566,78.0,114.0,-40.908746494070996
11598,6.0,126.0,-36.93139393793768
11610,18.0,126.0,-38.987983834648084
11622,30.0,126.0,-37.04544286978287
11634,42.0,126.0,-34.916917623153765
11646,54.0,126.0,-35.93030222299012
11658,66.0,126.0,-38.93152989216796
11670,78.0,126.0,-40.104670232236046
12702,6.0,138.0,-36.75100128392731
12714,18.0,138.0,-38.289784637682935
12726,30.0,138.0,-35.47032601792722
12738,42.0,138.0,-34.45378570657214
12750,54.0,138.0,-36.78268375224306
12762,66.0,138.0,-38.86284265169833
12774,78.0,138.0,-39.87538345608584
13806,6.0,150.0,-35.68865692235427
13818,18.0,150.0,-38.103577411070134
13830,30.0,150.0,-35.61893163191163
13842,42.0,150.0,-34.29777779348425
13854,54.0,150.0,-36.101091394011156
13866,66.0,150.0,-38.861010625638116
13878,78.0,150.0,-41.32995319429023
14910,6.0,162.0,-34.286759861006345
14922,18.0,162.0,-36.65915876999663
14934,30.0,162.0,-36.022838077514855
14946,42.0,162.0,-34.613923013895906
14958,54.0,162.0,-34.64983682461863
14970,66.0,162.0,-38.14896341324828
14982,78.0,162.0,-41.02194846855712
16014,6.0,174.0,-36.11349061446959
16026,18.0,174.0,-36.08283771780594
16038,30.0,174.0,-35.20702534861897
16050,42.0,174.0,-34.32407067663928
16062,54.0,174.0,-34.477862978294766
16074,66.0,174.0,-37.59989472692761
16086,78.0,174.0,-38.47014440946534
17118,6.0,186.0,-36.856728514892495
17130,18.0,186.0,-35.735282491536026
17142,30.0,186.0,-34.18772047778675
17154,42.0,186.0,-33.020110089920166
17166,54.0,186.0,-35.48954836401514
17178,66.0,186.0,-38.594771730046105
17190,78.0,186.0,-37.31801669543404
18222,6.0,198.0,-35.62979527392045
18234,18.0,198.0,-34.76419098707206
18246,30.0,198.0,-34.21229406993426
18258,42.0,198.0,-31.844971816296322
18270,54.0,198.0,-34.74064216409249
18282,66.0,198.0,-38.66514825163774
18294,78.0,198.0,-38.41881468481973
19326,6.0,210.0,-34.683244069541665
19338,18.0,210.0,-34.94699301116454
19350,30.0,210.0,-35.47171713507984
19362,42.0,210.0,-32.54103105203198
19374,54.0,210.0,-33.68736377226713
19386,66.0,210.0,-36.83030992504117
19398,78.0,210.0,-38.60165768108256
20430,6.0,222.0,-33.610168675589215
20442,18.0,222.0,-35.671471057995426
20454,30.0,222.0,-35.38288274183289
20466,42.0,222.0,-33.07344815799758
20478,54.0,222.0,-33.13160899774506
20490,66.0,222.0,-34.725562515024066
20502,78.0,222.0,-35.80064230713715
21534,6.0,234.0,-33.31009105676957
21546,18.0,234.0,-36.4055010615344
21558,30.0,234.0,-33.816273679428974
21570,42.0,234.0,-32.87410512942271
21582,54.0,234.0,-34.05905414592152
21594,66.0,234.0,-34.41291993102637
21606,78.0,234.0,-33.432689158508445
22638,6.0,246.0,-33.880633038876454
22650,18.0,246.0,-36.56224365343181
22662,30.0,246.0,-31.984610454671138
22674,42.0,246.0,-31.666382337099037
22686,54.0,246.0,-35.856624910033034
22698,66.0,246.0,-36.94171763279938
22710,78.0,246.0,-33.5268117283218
23742,6.0,258.0,-34.76581323780473
23754,18.0,258.0,-35.427413376352845
23766,30.0,258.0,-31.198429087543957
23778,42.0,258.0,-31.310434984302958
23790,54.0,258.0,-34.45639458187817
23802,66.0,258.0,-36.33578342082059
23814,78.0,258.0,-33.90689192546109
24846,6.0,270.0,-35.16449718360507
24858,18.0,270.0,-32.62296084167017
24870,30.0,270.0,-31.59502843614419
24882,42.0,270.0,-33.68401847001098
24894,54.0,270.0,-32.62971487088892
24906,66.0,270.0,-33.504479808079104
24918,78.0,270.0,-32.71846589489589
25950,6.0,282.0,-36.49279175685276
25962,18.0,282.0,-30.307045753383548
25974,30.0,282.0,-30.5252741802259
25986,42.0,282.0,-34.541434991884735
25998,54.0,282.0,-33.992917431572074
26010,66.0,282.0,-36.00663192408102
26022,78.0,282.0,-33.72163985482159
27054,6.0,294.0,-34.592780383734976
27066,18.0,294.0,-30.61834844584203
27078,30.0,294.0,-31.30072646223372
27090,42.0,294.0,-32.34008927540841
27102,54.0,294.0,-35.29224977686206
27114,66.0,294.0,-39.63638285465463
27126,78.0,294.0,-34.880651097175516
28158,6.0,306.0,-31.16000758430054
28170,18.0,306.0,-31.520315530553447
28182,30.0,306.0,-35.23565187867188
28194,42.0,306.0,-32.3298696703217
28206,54.0,306.0,-35.49379012762568
28218,66.0,306.0,-38.79220779070234
28230,78.0,306.0,-32.000436554859654
29262,6.0,318.0,-30.047860395399216
29274,18.0,318.0,-31.659482488746807
29286,30.0,318.0,-35.188235422882244
29298,42.0,318.0,-32.51519356709879
29310,54.0,318.0,-35.58301532971652
29322,66.0,318.0,-36.66683732477659
29334,78.0,318.0,-30.100339641588626
30366,6.0,330.0,-32.35235215307842
30378,18.0,330.0,-32.67757497389866
