,x,y,z
1302,14.0,14.0,-35.780472972897904
1330,42.0,14.0,-35.520317592462824
1358,70.0,14.0,-38.61384311197904
3878,14.0,42.0,-35.58073064114737
3906,42.0,42.0,-38.357050942222365
3934,70.0,42.0,-40.48950275105844
6454,14.0,70.0,-38.88186556452367
6482,42.0,70.0,-38.11163721419906
6510,70.0,70.0,-38.96687136449044
9030,14.0,98.0,-39.01410645979493
9058,42.0,98.0,-38.31218545706399
9086,70.0,98.0,-38.92601741645621
11606,14.0,126.0,-37.364998214754
11634,42.0,126.0,-38.906314911936015
11662,70.0,126.0,-39.44345860491883
14182,14.0,154.0,-34.587119532485815
14210,42.0,154.0,-36.43111412581121
14238,70.0,154.0,-38.72460679224896
16758,14.0,182.0,-33.663616684743815
16786,42.0,182.0,-34.7477388691921
16814,70.0,182.0,-36.971859333917095
19334,14.0,210.0,-34.30311474696227
19362,42.0,210.0,-34.138497890135596
19390,70.0,210.0,-34.18636663491379
21910,14.0,238.0,-33.1745586616903
21938,42.0,238.0,-35.279620642917784
21966,70.0,238.0,-33.71517907313373
24486,14.0,266.0,-33.47870539951799
24514,42.0,266.0,-33.6048309780414
24542,70.0,266.0,-31.81545098527972
27062,14.0,294.0,-32.60705473435295
27090,42.0,294.0,-31.896948825884376
27118,70.0,294.0,-31.477051303131557
29638,14.0,322.0,-32.820690393293695
29666,42.0,322.0,-34.77098791890643
29694,70.0,322.0,-33.82072669348582
32214,14.0,350.0,-32.565516486490615
32242,42.0,350.0,-34.96579268477382
32270,70.0,350.0,-34.32819840912245
34790,14.0,378.0,-29.59263456331815
34818,42.0,378.0,-34.36376421760221
34846,70.0,378.0,-36.768399394710315
37366,14.0,406.0,-31.25627031835239
37394,42.0,406.0,-31.906711642294056
37422,70.0,406.0,-32.50285461250678
39942,14.0,434.0,-31.259494471825477
39970,42.0,434.0,-28.065345955941957
39998,70.0,434.0,-26.843511852744694
42518,14.0,462.0,-29.8736035168387
42546,42.0,462.0,-29.298516719971865
42574,70.0,462.0,-29.61069149165642
45094,14.0,490.0,-32.53525618951727
45122,42.0,490.0,-31.574377815557195
45150,70.0,490.0,-30.641648565059594
47670,14.0,518.0,-32.39374795091923
47698,42.0,518.0,-30.60162830196645
47726,70.0,518.0,-32.622135070414494
50246,14.0,546.0,-29.789308589755585
50274,42.0,546.0,-29.323454140216207
50302,70.0,546.0,-31.20654089633275
52822,14.0,574.0,-26.989148932517136
52850,42.0,574.0,-29.79143695523672
52878,70.0,574.0,-29.14653591526456
55398,14.0,602.0,-28.155086362741105
55426,42.0,602.0,-30.563625313114226
55454,70.0,602.0,-29.026157296772663
57974,14.0,630.0,-29.325987857399223
58002,42.0,630.0,-31.339276044546338
58030,70.0,630.0,-31.20862773021934
60550,14.0,658.0,-27.9820665863924
60578,42.0,658.0,-30.450049201232808
60606,70.0,658.0,-32.83446266143438
63126,14.0,686.0,-27.814415525809757
63154,42.0,686.0,-27.08594528476631
63182,70.0,686.0,-29.77066129217831
65702,14.0,714.0,-30.774331416691172
65730,42.0,714.0,-27.79719116184752
65758,70.0,714.0,-28.66992489483708
68278,14.0,742.0,-34.14382559195731
68306,42.0,742.0,-30.458211820418715
68334,70.0,742.0,-28.8370154428878
70854,14.0,770.0,-31.891840876629793
70882,42.0,770.0,-30.755668760125744
70910,70.0,770.0,-30.652149354395732
73430,14.0,798.0,-30.21622898585811
73458,42.0,798.0,-30.121016335426894
73486,70.0,798.0,-31.12108206807143
76006,14.0,826.0,-29.322500175400307
76034,42.0,826.0,-31.117238664717423
76062,70.0,826.0,-32.94816882756404
78582,14.0,854.0,-29.064924976484054
78610,42.0,854.0,-29.98772748791015
78638,70.0,854.0,-31.615194038381603
81158,14.0,882.0,-30.70392140459877
81186,42.0,882.0,-28.0502447705163
81214,70.0,882.0,-27.242683258626894
83734,14.0,910.0,-28.895647003125816
83762,42.0,910.0,-30.595954237720147
83790,70.0,910.0,-29.60003884559233
86310,14.0,938.0,-26.401059140867957
86338,42.0,938.0,-30.602204013708423
86366,70.0,938.0,-33.0686816094542
88886,14.0,966.0,-26.81535874863451
88914,42.0,966.0,-25.90533626830693
88942,70.0,966.0,-27.90898746048194
91462,14.0,994.0,-29.00514097180886
91490,42.0,994.0,-25.061771740416525
91518,70.0,994.0,-24.17177248007498
94038,14.0,1022.0,-29.04750404907777
94066,42.0,1022.0,-27.34739139535258
94094,70.0,1022.0,-27.164492306264254
96614,14.0,1050.0,-31.221760053218038
96642,42.0,1050.0,-31.157495924750997
96670,70.0,1050.0,-30.597951787888785
99190,14.0,1078.0,-31.082469061224295
99218,42.0,1078.0,-30.96870811249595
99246,70.0,1078.0,-28.470445752037215
101766,14.0,1106.0,-30.563376890592924
101794,42.0,1106.0,-27.244118844855535
101822,70.0,1106.0,-24.559494666150574
104342,14.0,1134.0,-32.926184026342064
104370,42.0,1134.0,-28.960980635265834
104398,70.0,1134.0,-25.56648473443825
106918,14.0,1162.0,-33.420817797484034
106946,42.0,1162.0,-28.813216722991587
106974,70.0,1162.0,-25.58679716283533
109494,14.0,1190.0,-33.37198816246727
109522,42.0,1190.0,-27.673024059593764
109550,70.0,1190.0,-25.854220827265486
112070,14.0,1218.0,-29.32604035214481
112098,42.0,1218.0,-26.98194027511773
112126,70.0,1218.0,-25.850028071370016
114646,14.0,1246.0,-29.761743408993517
114674,42.0,1246.0,-27.609119439269392
114702,70.0,1246.0,-23.51494241795684
117222,14.0,1274.0,-29.690964904521074
117250,42.0,1274.0,-30.18334797120175
117278,70.0,1274.0,-26.50290163529778
119798,14.0,1302.0,-26.622878444024867
119826,42.0,1302.0,-29.925377572780867
119854,70.0,1302.0,-26.969770600227324
